entity_id,canonical_name,candidate_alias,candidate_type,language,source_if_any,requires_human_confirmation
OSM_RAIL_248467412,Chennai Chetpet,சேத்துப்பட்டு,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_248545108,Pattaravakkam,பட்டரவாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_256777901,Kanchipuram,காஞ்சிபுரம்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_261713045,Villiyambakkam,வில்லியம்பாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_261716103,Kanchipuram East,காஞ்சிபுரம் கிழக்கு,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_304278622,Anna Nagar West,அண்ணா நகர் மேற்கு,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_304278630,Padi,பாடி,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_603015278,அரசினர் தோட்டம்,அரசினர் தோட்டம்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_652426042,Pachaiyappa's College,பச்சையப்பன் கல்லூரி,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_652426192,Nehru Park,நேரு பூங்கா,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_652426199,Egmore Metro,எழும்பூர்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_687175415,சென்னை புறநகர் பேருந்து நிலையம்,சென்னை புறநகர் பேருந்து நிலையம்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_998294040,அசோக் நகர்,அசோக் நகர்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_1207423990,கோயம்பேடு,கோயம்பேடு,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_1207424028,Anna Nagar East,அண்ணா நகர் கிழக்கு,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_1207424080,Kilpauk,கீழ்பாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_2481258995,Chennai Park Town,பூங்கா நகர்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_2481258999,Chennai Park,சென்னை பூங்கா,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_2481259002,Kodambakkam,கோடம்பாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_2481259006,Mambalam,மாம்பலம்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_2481259029,Saidapet,சைதாப்பேட்டை,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_2481969291,Puratchi Thalaivar Dr. M. G. Ramachandran Central,சென்னை - புரட்சி தலைவர் டா. எம். ஜி. ராமச்சந்திரன் சென்ட்ரல்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_2486239287,Chepauk,சேப்பாக்கம்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_2605993507,Minjur,மீஞ்சூர்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_3187977875,Palavanthangal,பழவந்தாங்கல்,official_tamil,ta,OSM_OVERPASS,False
OSM_RAIL_3264712327,Guindy,கிண்டி,official_tamil,ta,OSM_OVERPASS,False
