hub_id,hub_name,priority_tier,member_entity_id,member_name,member_mode,paired_entity_id,paired_name,paired_mode,walking_distance_m,confidence,requires_review,verified,notes
HUB_ALANDUR,Alandur,TIER_1_CORE,GTFS_STOP_11,Alandur Depot,bus,GTFS_STOP_11124,Nanganallur Metro,metro,330.4,0.5,True,False,Cross-mode candidate in TIER_1_CORE: bus <-> metro at 330.4m.
HUB_ALANDUR,Alandur,TIER_1_CORE,GTFS_STOP_8929,Alandur Depot,bus,GTFS_STOP_11124,Nanganallur Metro,metro,383.0,0.5,True,False,Cross-mode candidate in TIER_1_CORE: bus <-> metro at 383.0m.
HUB_ALANDUR,Alandur,TIER_1_CORE,GTFS_STOP_8928,Alandur Depot,bus,GTFS_STOP_11124,Nanganallur Metro,metro,310.3,0.5,True,False,Cross-mode candidate in TIER_1_CORE: bus <-> metro at 310.3m.
HUB_CMBT,CMBT,TIER_1_CORE,OSM_RAIL_5321248890,CMBT,metro,OSM_BUS_306104406,Puratchi Thalaivar Dr. M.G.R Bus Terminus,bus,123.9,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 123.9m.
HUB_CMBT,CMBT,TIER_1_CORE,OSM_RAIL_5321248890,CMBT,metro,OSM_BUS_11598619872,Bus to Mamallapuram,bus,103.2,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 103.2m.
HUB_CMBT,CMBT,TIER_1_CORE,OSM_RAIL_5321248890,CMBT,metro,GTFS_STOP_5822,M.G.R.Koyambedu Bus Terminus,bus,135.4,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 135.4m.
HUB_CMBT,CMBT,TIER_1_CORE,OSM_RAIL_5321248890,CMBT,metro,OSM_BUS_5318548733,SRM Travels,bus,305.9,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 305.9m.
HUB_CMBT,CMBT,TIER_1_CORE,OSM_RAIL_5321248890,CMBT,metro,OSM_BUS_10980207098,Koyambedu Mofussil Bus Terminal,bus,346.1,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 346.1m.
HUB_CMBT,CMBT,TIER_1_CORE,OSM_RAIL_5321248890,CMBT,metro,OSM_BUS_10980207099,Koyambedu Mofussil Bus Terminal,bus,333.4,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 333.4m.
HUB_CMBT,CMBT,TIER_1_CORE,OSM_RAIL_5321248890,CMBT,metro,OSM_BUS_10980207100,Koyambedu Mofussil Bus Terminal,bus,258.7,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> bus at 258.7m.
HUB_CHENNAI_EGMORE,Chennai Egmore,TIER_1_CORE,OSM_RAIL_5275790188,Chennai Egmore,suburban_rail,OSM_RAIL_5329907499,Egmore,metro,342.2,0.9,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> metro at 342.2m.
HUB_CHENNAI_EGMORE,Chennai Egmore,TIER_1_CORE,OSM_RAIL_5275790188,Chennai Egmore,suburban_rail,OSM_RAIL_5328279403,Egmore Metro,metro,341.5,0.5,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> metro at 341.5m.
HUB_CHENNAI_INTERNATIONAL_AIRPORT,Chennai International Airport,TIER_1_CORE,CMRL_API_6675,Chennai International Airport,metro,OSM_RAIL_4885083053,Tirusulam,suburban_rail,176.3,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> suburban_rail at 176.3m.
HUB_EGMORE,Egmore,TIER_1_CORE,CMRL_API_6930,Egmore Metro,metro,OSM_RAIL_5275790188,Chennai Egmore,suburban_rail,146.4,0.75,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> suburban_rail at 146.4m.
HUB_EGMORE,Egmore,TIER_1_CORE,OSM_RAIL_652426199,Egmore Metro,metro,OSM_RAIL_5275790188,Chennai Egmore,suburban_rail,342.9,0.5,True,False,Cross-mode candidate in TIER_1_CORE: metro <-> suburban_rail at 342.9m.
HUB_GUINDY,Guindy,TIER_1_CORE,OSM_RAIL_3264712327,Guindy,suburban_rail,OSM_BUS_3264888779,Guindy Bus Stand,bus,201.2,0.9,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> bus at 201.2m.
HUB_GUINDY,Guindy,TIER_1_CORE,OSM_RAIL_3264712327,Guindy,suburban_rail,GTFS_STOP_1461,Guindy Bus Terminus,bus,159.0,0.9,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> bus at 159.0m.
HUB_GUINDY,Guindy,TIER_1_CORE,OSM_RAIL_3264712327,Guindy,suburban_rail,GTFS_STOP_9011,Guindy Metro Station,metro,84.8,0.9,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> metro at 84.8m.
HUB_GUINDY,Guindy,TIER_1_CORE,OSM_RAIL_3264712327,Guindy,suburban_rail,OSM_RAIL_5321248425,கிண்டி,metro,82.0,0.75,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> metro at 82.0m.
HUB_GUINDY,Guindy,TIER_1_CORE,OSM_RAIL_3264712327,Guindy,suburban_rail,OSM_RAIL_6285857247,கிண்டி,metro,86.0,0.75,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> metro at 86.0m.
HUB_GUINDY,Guindy,TIER_1_CORE,OSM_RAIL_3264712327,Guindy,suburban_rail,OSM_RAIL_6285857248,கிண்டி,metro,85.0,0.75,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> metro at 85.0m.
HUB_GUINDY,Guindy,TIER_1_CORE,OSM_BUS_3264888779,Guindy Bus Stand,bus,GTFS_STOP_9011,Guindy Metro Station,metro,243.9,0.75,True,False,Cross-mode candidate in TIER_1_CORE: bus <-> metro at 243.9m.
HUB_GUINDY,Guindy,TIER_1_CORE,GTFS_STOP_1461,Guindy Bus Terminus,bus,GTFS_STOP_9011,Guindy Metro Station,metro,189.6,0.75,True,False,Cross-mode candidate in TIER_1_CORE: bus <-> metro at 189.6m.
HUB_PURATCHI_THALAIVAR_DR__M__G__RAMACHANDRAN_CENTRAL,Puratchi Thalaivar Dr. M. G. Ramachandran Central,TIER_1_CORE,OSM_RAIL_2481969291,Puratchi Thalaivar Dr. M. G. Ramachandran Central,suburban_rail,OSM_RAIL_5329907502,Central Metro,metro,233.9,0.9,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> metro at 233.9m.
HUB_PURATCHI_THALAIVAR_DR__M__G__RAMACHANDRAN_CENTRAL,Puratchi Thalaivar Dr. M. G. Ramachandran Central,TIER_1_CORE,OSM_RAIL_2481969291,Puratchi Thalaivar Dr. M. G. Ramachandran Central,suburban_rail,OSM_RAIL_6285857250,Central Metro,metro,235.6,0.9,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> metro at 235.6m.
HUB_PURATCHI_THALAIVAR_DR__M__G__RAMACHANDRAN_CENTRAL,Puratchi Thalaivar Dr. M. G. Ramachandran Central,TIER_1_CORE,OSM_RAIL_2481969291,Puratchi Thalaivar Dr. M. G. Ramachandran Central,suburban_rail,OSM_RAIL_6285857251,Central Metro,metro,235.0,0.9,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> metro at 235.0m.
HUB_PURATCHI_THALAIVAR_DR__M__G__RAMACHANDRAN_CENTRAL,Puratchi Thalaivar Dr. M. G. Ramachandran Central,TIER_1_CORE,OSM_RAIL_2481969291,Puratchi Thalaivar Dr. M. G. Ramachandran Central,suburban_rail,OSM_RAIL_6285857252,Central Metro,metro,234.4,0.9,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> metro at 234.4m.
HUB_PURATCHI_THALAIVAR_DR__M__G__RAMACHANDRAN_CENTRAL,Puratchi Thalaivar Dr. M. G. Ramachandran Central,TIER_1_CORE,OSM_RAIL_2481969291,Puratchi Thalaivar Dr. M. G. Ramachandran Central,suburban_rail,OSM_RAIL_6285857253,Central Metro,metro,234.8,0.9,True,False,Cross-mode candidate in TIER_1_CORE: suburban_rail <-> metro at 234.8m.
