interchange_id,from_entity,from_name,to_entity,to_name,transfer_type,walking_distance_m,walking_time_min,confirmed,notes
INT_CMRL_API_693_OSM_RAIL_248,CMRL_API_6932,Puratchi Thalaivar Dr. M.G.Ramachandran Central Metro,OSM_RAIL_2481969291,Puratchi Thalaivar Dr. M. G. Ramachandran Central,walking_interchange,414.7,5.5,False,Multimodal candidate between metro and suburban_rail.
INT_CMRL_API_692_GTFS_STOP_10,CMRL_API_6920,Anna Nagar East,GTFS_STOP_10901,Anna Nagar East Depot,walking_interchange,417.0,5.6,False,Multimodal candidate between metro and bus.
INT_CMRL_API_690_GTFS_STOP_53,CMRL_API_6908,Vadapalani,GTFS_STOP_5353,Vadapalani Depot,walking_interchange,170.3,2.3,False,Multimodal candidate between metro and bus.
INT_CMRL_API_689_OSM_RAIL_422,CMRL_API_6897,St. Thomas Mount Metro,OSM_RAIL_4221752111,Saint Thomas Mount,walking_interchange,81.0,1.1,False,Multimodal candidate between metro and suburban_rail.
INT_CMRL_API_674_OSM_RAIL_531,CMRL_API_6740,Wimco Nagar Depot Metro,OSM_RAIL_5311732501,Wimco Nagar,walking_interchange,451.1,6.0,False,Multimodal candidate between metro and suburban_rail.
INT_CMRL_API_673_OSM_RAIL_531,CMRL_API_6738,Wimco Nagar Metro,OSM_RAIL_5311732501,Wimco Nagar,walking_interchange,87.7,1.2,False,Multimodal candidate between metro and suburban_rail.
INT_CMRL_API_709_OSM_RAIL_248,CMRL_API_7090,Puratchi Thalaivar Dr. M.G.Ramachandran Central Metro,OSM_RAIL_2481969291,Puratchi Thalaivar Dr. M. G. Ramachandran Central,walking_interchange,414.7,5.5,False,Multimodal candidate between metro and suburban_rail.
INT_CMRL_API_669_OSM_RAIL_248,CMRL_API_6698,Saidapet Metro,OSM_RAIL_2481259029,Saidapet,walking_interchange,36.6,0.5,False,Multimodal candidate between metro and suburban_rail.
INT_CMRL_API_667_OSM_RAIL_488,CMRL_API_6677,Meenambakkam,OSM_RAIL_4885094689,Meenambakkam,walking_interchange,352.6,4.7,False,Multimodal candidate between metro and suburban_rail.
INT_OSM_RAIL_304_GTFS_STOP_13,OSM_RAIL_304278622,Anna Nagar West,GTFS_STOP_13,Annanagar Depot,walking_interchange,462.8,6.2,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_120_GTFS_STOP_10,OSM_RAIL_1207424028,Anna Nagar East,GTFS_STOP_10901,Anna Nagar East Depot,walking_interchange,489.0,6.5,False,Multimodal candidate between metro and bus.
INT_OSM_RAIL_248_OSM_RAIL_140,OSM_RAIL_2481259002,Kodambakkam,OSM_RAIL_14018223516,Kodambakkam Metro,walking_interchange,69.4,0.9,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_248_GTFS_STOP_57,OSM_RAIL_2481259029,Saidapet,GTFS_STOP_5784,Saidapet Metro,walking_interchange,488.1,6.5,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_248_OSM_RAIL_532,OSM_RAIL_2481969291,Puratchi Thalaivar Dr. M. G. Ramachandran Central,OSM_RAIL_5329907502,Central Metro,walking_interchange,233.9,3.1,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_248_OSM_RAIL_628,OSM_RAIL_2481969291,Puratchi Thalaivar Dr. M. G. Ramachandran Central,OSM_RAIL_6285857250,Central Metro,walking_interchange,235.6,3.1,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_248_OSM_RAIL_628,OSM_RAIL_2481969291,Puratchi Thalaivar Dr. M. G. Ramachandran Central,OSM_RAIL_6285857251,Central Metro,walking_interchange,235.0,3.1,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_248_OSM_RAIL_628,OSM_RAIL_2481969291,Puratchi Thalaivar Dr. M. G. Ramachandran Central,OSM_RAIL_6285857252,Central Metro,walking_interchange,234.4,3.1,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_248_OSM_RAIL_628,OSM_RAIL_2481969291,Puratchi Thalaivar Dr. M. G. Ramachandran Central,OSM_RAIL_6285857253,Central Metro,walking_interchange,234.8,3.1,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_326_OSM_BUS_3264,OSM_RAIL_3264712327,Guindy,OSM_BUS_3264888779,Guindy Bus Stand,walking_interchange,201.2,2.7,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_326_GTFS_STOP_14,OSM_RAIL_3264712327,Guindy,GTFS_STOP_1461,Guindy Bus Terminus,walking_interchange,159.0,2.1,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_326_GTFS_STOP_90,OSM_RAIL_3264712327,Guindy,GTFS_STOP_9011,Guindy Metro Station,walking_interchange,84.8,1.1,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_367_GTFS_STOP_10,OSM_RAIL_3678939665,Avadi,GTFS_STOP_10428,Avadi Bus Terminus,walking_interchange,154.9,2.1,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_367_GTFS_STOP_16,OSM_RAIL_3678939665,Avadi,GTFS_STOP_16,Avadi Depot,walking_interchange,270.4,3.6,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_367_GTFS_STOP_10,OSM_RAIL_3678939665,Avadi,GTFS_STOP_10430,Avadi Bus Terminus,walking_interchange,240.5,3.2,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_422_OSM_RAIL_531,OSM_RAIL_4221752111,Saint Thomas Mount,OSM_RAIL_5319202812,Saint Thomas Mount,walking_interchange,89.4,1.2,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_488_OSM_RAIL_628,OSM_RAIL_4885094689,Meenambakkam,OSM_RAIL_6285857239,Meenambakkam,walking_interchange,363.3,4.8,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_488_GTFS_STOP_88,OSM_RAIL_4885094689,Meenambakkam,GTFS_STOP_8808,Meeanambakkam Metro,walking_interchange,321.2,4.3,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_527_OSM_BUS_3730,OSM_RAIL_5274094702,Ennore,OSM_BUS_373077167,Ennore MTC Terminus,walking_interchange,316.4,4.2,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_527_GTFS_STOP_53,OSM_RAIL_5274094702,Ennore,GTFS_STOP_5338,Ennore Depot,walking_interchange,211.8,2.8,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_527_GTFS_STOP_10,OSM_RAIL_5274094702,Ennore,GTFS_STOP_10585,Ennore Bus Terminus,walking_interchange,308.9,4.1,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_527_OSM_BUS_5274,OSM_RAIL_5274212914,Pattabiram E Depot,OSM_BUS_5274212914,Pattabiram E Depot,integrated_interchange,0.0,0.0,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_527_OSM_BUS_1145,OSM_RAIL_5274260962,Guduvancheri,OSM_BUS_1145642404,Guduvancheri MTC Terminus,walking_interchange,452.9,6.0,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_527_GTFS_STOP_62,OSM_RAIL_5274260962,Guduvancheri,GTFS_STOP_6296,Guduvancheri Bus Terminus,walking_interchange,438.5,5.8,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_527_GTFS_STOP_68,OSM_RAIL_5274761659,Korattur,GTFS_STOP_6879,Korattur Bus Terminus,walking_interchange,240.4,3.2,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_527_GTFS_STOP_68,OSM_RAIL_5274761659,Korattur,GTFS_STOP_6882,Korattur Bus Terminus,walking_interchange,170.3,2.3,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_527_OSM_RAIL_532,OSM_RAIL_5275790188,Chennai Egmore,OSM_RAIL_5329907499,Egmore,walking_interchange,342.2,4.6,False,Multimodal candidate between suburban_rail and metro.
INT_OSM_RAIL_527_OSM_BUS_3112,OSM_RAIL_5276205560,Perambur,OSM_BUS_311284385,Perambur MTC Terminus,walking_interchange,426.2,5.7,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_527_GTFS_STOP_68,OSM_RAIL_5276205560,Perambur,GTFS_STOP_6839,Perambur Bus Terminus,walking_interchange,425.7,5.7,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_527_GTFS_STOP_68,OSM_RAIL_5276205560,Perambur,GTFS_STOP_6835,Perambur Bus Terminus,walking_interchange,422.0,5.6,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_528_OSM_BUS_3400,OSM_RAIL_5286945822,Tambaram,OSM_BUS_340088810,Tambaram MTC Terminus,walking_interchange,136.9,1.8,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_528_OSM_BUS_3400,OSM_RAIL_5286945822,Tambaram,OSM_BUS_340088821,Tambaram East MTC Terminus,walking_interchange,260.0,3.5,False,Multimodal candidate between suburban_rail and bus.
INT_OSM_RAIL_528_OSM_BUS_4421,OSM_RAIL_5286945822,Tambaram,OSM_BUS_442132009,Tambaram Bus Stand,walking_interchange,232.1,3.1,False,Multimodal candidate between suburban_rail and bus.
