place_id,canonical_name,category,inside_cma,proposed_priority,include_in_nlp,requires_review,notes
OSM_POI_7820652140,Shri Maruthi Multi Speciality Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820652157,Private Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820652202,Dr. Chitra Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7257518731,Mother & Child Care Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7257518777,"Government Hospital, Madhuranthagam",hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820652187,Sri Ramakrishna Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_10591203117,Karunguzhi Town Panchayat,government_office,False,MEDIUM,True,True,OSM surveyed government_office.
OSM_POI_3082849503,Karpaga Vinayaga Institute Of Medical Sciences,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7257518666,Karpaga Vinayaga Medical College Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7257518724,Padalam Government Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_4849608923,HONDA BIKE SHOW ROOM,tourist_attraction,False,LOW,False,True,OSM surveyed tourist_attraction.
OSM_POI_7257518764,St.Mary'S Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_353073527,DAE Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_4893391921,GSO Office,government_office,False,MEDIUM,True,True,OSM surveyed government_office.
OSM_POI_368307280,Govt Primary Health Centre,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_4857382121,Indura gandhi center for atomic research,government_office,False,MEDIUM,True,True,OSM surveyed government_office.
OSM_POI_7820652160,Sri Venkateshwara Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_314081186,Hindustan Maritime Institute,college,False,MEDIUM,True,True,OSM surveyed college.
OSM_POI_577328882,Great Lakes Institute Of Management,college,False,MEDIUM,True,True,OSM surveyed college.
OSM_POI_7257518734,"Government Hospital, Uthiramerur",hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820652148,Anthonyammal Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820652195,Anandajyoti Hospitals,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6232666489,SUB REGISTRAR OFFICE KANCHIPURAM ALL,government_office,False,MEDIUM,True,True,OSM surveyed government_office.
OSM_POI_7266257993,Ayanpet rural office,government_office,False,MEDIUM,True,True,OSM surveyed government_office.
OSM_POI_7257289021,"Goverment Hospital, Avaloor",hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7257289040,APJ Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_5300479525,Government hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7266259287,Government siddha hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820652201,Mother Care Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_469108935,Shri Andal Alagar college of Engineering,college,False,MEDIUM,True,True,OSM surveyed college.
OSM_POI_469116624,Pepsi boteling plant,tourist_attraction,False,LOW,False,True,OSM surveyed tourist_attraction.
OSM_POI_7820802388,Government Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_11002504765,Office Of Divisional Engineer,government_office,False,MEDIUM,True,True,OSM surveyed government_office.
OSM_POI_7820802389,Sri Siddhalaym Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_11002504766,Office Of Deputy Registrar Of CoOperative Societies,government_office,False,MEDIUM,True,True,OSM surveyed government_office.
OSM_POI_6929359063,Beent Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6933038496,J. J. Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6936339696,"Sundaram Hospital, Kanchipuram",hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7257518706,Venkatramana Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802404,Sai Fertility Centre and Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802426,Sundaram Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_11002658418,Balaji Heart Care Center,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802351,JSP Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802373,Filariasis Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6930019969,JSP Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802359,Raman Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802414,Herbo Care Herbal Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6929592178,Balaji Hospital (Multi Speciality Hospital Chengalpattu),hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802392,Mrk Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802423,Ezhil Siddha Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_2334799037,Railway reservation office,government_office,False,MEDIUM,True,True,OSM surveyed government_office.
OSM_POI_7820802410,Bagavathy Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802419,V.K.R Piles Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7257518688,Kr Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7257518739,Thirukalukundram Government hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820652178,Vijay Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820652150,Rotary Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7281710386,Regional transport office,government_office,False,MEDIUM,True,True,OSM surveyed government_office.
OSM_POI_11004625313,Paranur Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6934407826,Muthu Ganapathy Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6936695102,Sree Sakthi Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7257289122,Sakthi Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802374,Sri Venkateshwara Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802376,Sri Balaji Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802367,Sulaiman Memorial Dental and Child Care,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7994263185,Sulaiman Memorial,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802350,Arokia Annai Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802425,Sanjeevi Health Care,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802398,Naveen Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6933010476,J.S. Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7257289035,Vanavil Medical Centre,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802394,Nirahhs Health Centre,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802408,Akshaya Sida Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820802427,SRM Urban Health Centre,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_5302898127,Medi care hispital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7257289078,Senthil Maternity Centre,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820443295,Karthigai Centre for Mental Health Care,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_1238733084,Dr. Nathaji Nursing Home,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_1470793341,Balasubramaniam Vengudi Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6914927101,Sri D.K.K. Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6933291839,"Vasan Eye Care Hospital, Pachaiyappan",hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6936696190,V.S.R Ortho Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820443291,AKG Maternity and Fertility Centre,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820443304,Sri Ne Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820443327,Bone Care Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820443344,Adara Kerala Ayurveda,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820443356,AKG Fertility Centre,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7257289074,Life Care Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7257289115,Emmess Women Care Centre,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7257289118,"Government Hospital, Kancheepuram",hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820443351,"Herbocare Hospital, Kanchipuram",hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6916079972,Adi Bhagavatpada Cardiac and Dialysis Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6934052357,"Dr Agarwals Eye Hospital Ltd, Indira Gandhi Road",hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7257289137,Lakshmi Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820443353,Sri Sankara Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820443302,Sunflower Siddha Hospital for Skin and Fertility,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6929737161,Csi Multi Speciality Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820443343,Sivananda Siddha Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820443345,M.S.D Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820443352,Dr. Natarajan Speciality Hospital and Kidney Care Centre,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820443355,VKJ Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820443363,Dr. Kamakshi Memorial Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6936318715,Manohar General Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_6914927087,Meenakshi Medl College Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820652165,Bon Secours Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820652136,Pandiyan Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820652144,Sagundaladevi Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820652149,Shanmuga Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820652156,Shifa Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_7820652163,Sri Devi Hospital,hospital,False,MEDIUM,True,True,OSM surveyed hospital.
OSM_POI_5427941223,Delfingen India Chennai,general_poi,False,LOW,False,True,OSM surveyed general_poi.
OSM_POI_3029387357,Sri Krishna Engineering College,college,False,MEDIUM,True,True,OSM surveyed college.
