from_entity,from_name,to_entity,to_name,straight_line_distance_m,walkable,estimated_walking_time_min,obstacle_notes,requires_human_confirmation
OSM_RAIL_5274212914,Pattabiram E Depot,OSM_BUS_5274212914,Pattabiram E Depot,0.0,unverified_walking_transfer,0.0,potential railway track crossing,True
OSM_RAIL_9857416360,Wimco Nagar Depot,OSM_BUS_9857416360,Wimco Nagar Depot,0.0,unverified_walking_transfer,0.0,direct sidewalk verification needed,True
OSM_RAIL_9857416360,Wimco Nagar Depot,GTFS_STOP_CMRL_01,Wimco Nagar Depot,0.0,unverified_walking_transfer,0.0,direct sidewalk verification needed,True
OSM_RAIL_14023022804,Madhavaram Depot,OSM_BUS_14023022804,Madhavaram Depot,0.0,unverified_walking_transfer,0.0,direct sidewalk verification needed,True
OSM_RAIL_9853600043,விம்கோ நகர் டிப்போ,OSM_BUS_9857416360,Wimco Nagar Depot,5.4,unverified_walking_transfer,0.1,direct sidewalk verification needed,True
OSM_RAIL_9853600043,விம்கோ நகர் டிப்போ,GTFS_STOP_CMRL_01,Wimco Nagar Depot,5.4,unverified_walking_transfer,0.1,direct sidewalk verification needed,True
OSM_RAIL_13972514096,Iyappanthangal Metro,GTFS_STOP_5926,Iyyappanthangal Bus Depot,14.6,unverified_walking_transfer,0.2,direct sidewalk verification needed,True
OSM_RAIL_13972488427,Poonamallee Bus Stand Metro,OSM_BUS_248454339,Poonamallee MTC Terminus,26.7,unverified_walking_transfer,0.4,direct sidewalk verification needed,True
CMRL_API_6698,Saidapet Metro,OSM_RAIL_2481259029,Saidapet,36.6,unverified_walking_transfer,0.5,potential railway track crossing,True
OSM_RAIL_8477103097,திருவொற்றியூர்,GTFS_STOP_10539,Thiruvottiyur Ajax Bus Depot,43.4,unverified_walking_transfer,0.6,direct sidewalk verification needed,True
OSM_RAIL_13972514096,Iyappanthangal Metro,OSM_BUS_370969659,Ayyapanthangal,43.6,unverified_walking_transfer,0.6,direct sidewalk verification needed,True
OSM_RAIL_8477103097,திருவொற்றியூர்,OSM_BUS_1391573897,Thirovttriyur MTC Terminus,43.8,unverified_walking_transfer,0.6,direct sidewalk verification needed,True
OSM_RAIL_8430636714,Thiruvottriyur,GTFS_STOP_10539,Thiruvottiyur Ajax Bus Depot,44.4,unverified_walking_transfer,0.6,direct sidewalk verification needed,True
OSM_RAIL_8430636714,Thiruvottriyur,OSM_BUS_1391573897,Thirovttriyur MTC Terminus,44.5,unverified_walking_transfer,0.6,direct sidewalk verification needed,True
OSM_RAIL_8477103055,திருவொற்றியூர்,OSM_BUS_1391573897,Thirovttriyur MTC Terminus,45.8,unverified_walking_transfer,0.6,direct sidewalk verification needed,True
OSM_RAIL_8477103055,திருவொற்றியூர்,GTFS_STOP_10539,Thiruvottiyur Ajax Bus Depot,45.8,unverified_walking_transfer,0.6,direct sidewalk verification needed,True
OSM_RAIL_13972514096,Iyappanthangal Metro,GTFS_STOP_10224,Iyyappanthangal Bus Depot,45.8,unverified_walking_transfer,0.6,direct sidewalk verification needed,True
