fare_id,origin_stop_id,destination_stop_id,origin_station_name,destination_station_name,origin_chart_label,destination_chart_label,token_fare,discounted_fare,currency,agency_id,effective_date,source_id
FARE_CMRL_METRO_CHENNAI_INTERNATIONAL_AIRPORT_TO_METRO_CHENNAI_INTERNATIONAL_AIRPORT,METRO_CHENNAI_INTERNATIONAL_AIRPORT,METRO_CHENNAI_INTERNATIONAL_AIRPORT,Chennai International Airport,Chennai International Airport,AIRPORT,AIRPORT,0.0,0.0,INR,CMRL,2021-02-22,CMRL_OFFICIAL
FARE_CMRL_METRO_CHENNAI_INTERNATIONAL_AIRPORT_TO_METRO_MEENAMBAKKAM,METRO_CHENNAI_INTERNATIONAL_AIRPORT,METRO_MEENAMBAKKAM,Chennai International Airport,Meenambakkam,AIRPORT,MEENAMBAKKAM,10.0,8.0,INR,CMRL,2021-02-22,CMRL_OFFICIAL
FARE_CMRL_METRO_CHENNAI_INTERNATIONAL_AIRPORT_TO_METRO_OTA_NANGANALLUR_ROAD,METRO_CHENNAI_INTERNATIONAL_AIRPORT,METRO_OTA_NANGANALLUR_ROAD,Chennai International Airport,OTA-Nanganallur Road,AIRPORT,NANGANALLUR ROAD,20.0,16.0,INR,CMRL,2021-02-22,CMRL_OFFICIAL
FARE_CMRL_METRO_CHENNAI_INTERNATIONAL_AIRPORT_TO_METRO_ARIGNAR_ANNA_ALANDUR,METRO_CHENNAI_INTERNATIONAL_AIRPORT,METRO_ARIGNAR_ANNA_ALANDUR,Chennai International Airport,Arignar Anna Alandur Metro,AIRPORT,ARIGNAR ANNA ALANDUR METRO,20.0,16.0,INR,CMRL,2021-02-22,CMRL_OFFICIAL
FARE_CMRL_METRO_CHENNAI_INTERNATIONAL_AIRPORT_TO_METRO_GUINDY,METRO_CHENNAI_INTERNATIONAL_AIRPORT,METRO_GUINDY,Chennai International Airport,Guindy,AIRPORT,GUINDY,30.0,24.0,INR,CMRL,2021-02-22,CMRL_OFFICIAL
FARE_CMRL_METRO_CHENNAI_INTERNATIONAL_AIRPORT_TO_METRO_LITTLE_MOUNT,METRO_CHENNAI_INTERNATIONAL_AIRPORT,METRO_LITTLE_MOUNT,Chennai International Airport,Little Mount,AIRPORT,LITTLE MOUNT,30.0,24.0,INR,CMRL,2021-02-22,CMRL_OFFICIAL
FARE_CMRL_METRO_CHENNAI_INTERNATIONAL_AIRPORT_TO_METRO_SAIDAPET,METRO_CHENNAI_INTERNATIONAL_AIRPORT,METRO_SAIDAPET,Chennai International Airport,Saidapet Metro,AIRPORT,SAIDAPET,30.0,24.0,INR,CMRL,2021-02-22,CMRL_OFFICIAL
FARE_CMRL_METRO_CHENNAI_INTERNATIONAL_AIRPORT_TO_METRO_NANDANAM,METRO_CHENNAI_INTERNATIONAL_AIRPORT,METRO_NANDANAM,Chennai International Airport,Nandanam,AIRPORT,NANDANAM,30.0,24.0,INR,CMRL,2021-02-22,CMRL_OFFICIAL
FARE_CMRL_METRO_CHENNAI_INTERNATIONAL_AIRPORT_TO_METRO_TEYNAMPET,METRO_CHENNAI_INTERNATIONAL_AIRPORT,METRO_TEYNAMPET,Chennai International Airport,Teynampet,AIRPORT,TEYNAMPET,30.0,24.0,INR,CMRL,2021-02-22,CMRL_OFFICIAL
FARE_CMRL_METRO_CHENNAI_INTERNATIONAL_AIRPORT_TO_METRO_AG___8211__DMS,METRO_CHENNAI_INTERNATIONAL_AIRPORT,METRO_AG___8211__DMS,Chennai International Airport,AG – DMS,AIRPORT,AG-DMS,40.0,32.0,INR,CMRL,2021-02-22,CMRL_OFFICIAL
FARE_CMRL_METRO_CHENNAI_INTERNATIONAL_AIRPORT_TO_METRO_THOUSAND_LIGHTS,METRO_CHENNAI_INTERNATIONAL_AIRPORT,METRO_THOUSAND_LIGHTS,Chennai International Airport,Thousand Lights,AIRPORT,THOUSAND LIGHTS,40.0,32.0,INR,CMRL,2021-02-22,CMRL_OFFICIAL
FARE_CMRL_METRO_CHENNAI_INTERNATIONAL_AIRPORT_TO_METRO_LIC,METRO_CHENNAI_INTERNATIONAL_AIRPORT,METRO_LIC,Chennai International Airport,LIC,AIRPORT,LIC,40.0,32.0,INR,CMRL,2021-02-22,CMRL_OFFICIAL
FARE_CMRL_METRO_CHENNAI_INTERNATIONAL_AIRPORT_TO_METRO_GOVERNMENT_ESTATE,METRO_CHENNAI_INTERNATIONAL_AIRPORT,METRO_GOVERNMENT_ESTATE,Chennai International Airport,Government Estate,AIRPORT,GOVERNMENT ESTATE,40.0,32.0,INR,CMRL,2021-02-22,CMRL_OFFICIAL
FARE_CMRL_METRO_CHENNAI_INTERNATIONAL_AIRPORT_TO_METRO_PURATCHI_THALAIVAR_DR__M_G_RAMACHANDRAN_CENTRAL,METRO_CHENNAI_INTERNATIONAL_AIRPORT,METRO_PURATCHI_THALAIVAR_DR__M_G_RAMACHANDRAN_CENTRAL,Chennai International Airport,Puratchi Thalaivar Dr. M.G.Ramachandran Central Metro,AIRPORT,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO,40.0,32.0,INR,CMRL,2021-02-22,CMRL_OFFICIAL
