fare_id,agency_id,service_type,stage_number,fare_amount,currency,effective_date,government_order,source_id,raw_file_id
FARE_MTC_ORDINARY_SERVICES_S01,MTC,Ordinary Services,1,5.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_ORDINARY_SERVICES_S02,MTC,Ordinary Services,2,6.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_ORDINARY_SERVICES_S03,MTC,Ordinary Services,3,7.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_ORDINARY_SERVICES_S04,MTC,Ordinary Services,4,8.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_ORDINARY_SERVICES_S05,MTC,Ordinary Services,5,9.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_ORDINARY_SERVICES_S06,MTC,Ordinary Services,6,10.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_ORDINARY_SERVICES_S07,MTC,Ordinary Services,7,11.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_ORDINARY_SERVICES_S08,MTC,Ordinary Services,8,12.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_ORDINARY_SERVICES_S09,MTC,Ordinary Services,9,13.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_ORDINARY_SERVICES_S10,MTC,Ordinary Services,10,14.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_ORDINARY_SERVICES_S11,MTC,Ordinary Services,11,15.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_ORDINARY_SERVICES_S12,MTC,Ordinary Services,12,15.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_ORDINARY_SERVICES_S13,MTC,Ordinary Services,13,16.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_ORDINARY_SERVICES_S14,MTC,Ordinary Services,14,16.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
FARE_MTC_ORDINARY_SERVICES_S15,MTC,Ordinary Services,15,17.0,INR,2018-01-29,G.O (Ms.) No.48 Dated 28.01.2018,MTC_OFFICIAL,MTC_OFFICIAL_FARES_20260918
