place_id,source_id,source_record_id,raw_file_id,name,name_en,name_ta,alt_name,category,latitude,longitude,inside_cma,wheelchair
OSM_POI_7820652140,OSM_OVERPASS,7820652140,OSM_TRANSPORT_POIS_20260918,Shri Maruthi Multi Speciality Hospital,Shri Maruthi Multi Speciality Hospital,,,hospital,12.5104015,79.8853438,False,
OSM_POI_7820652157,OSM_OVERPASS,7820652157,OSM_TRANSPORT_POIS_20260918,Private Hospital,Private Hospital,,,hospital,12.5103701,79.8832905,False,
OSM_POI_7820652202,OSM_OVERPASS,7820652202,OSM_TRANSPORT_POIS_20260918,Dr. Chitra Hospital,Dr. Chitra Hospital,,,hospital,12.5096532,79.8875315,False,
OSM_POI_7257518731,OSM_OVERPASS,7257518731,OSM_TRANSPORT_POIS_20260918,Mother & Child Care Hospital,Mother & Child Care Hospital,,,hospital,12.5101065,79.8884224,False,
OSM_POI_7257518777,OSM_OVERPASS,7257518777,OSM_TRANSPORT_POIS_20260918,"Government Hospital, Madhuranthagam","Government Hospital, Madhuranthagam",,,hospital,12.5093491,79.8903597,False,
OSM_POI_7820652187,OSM_OVERPASS,7820652187,OSM_TRANSPORT_POIS_20260918,Sri Ramakrishna Hospital,Sri Ramakrishna Hospital,,,hospital,12.5096751,79.8895842,False,
OSM_POI_10591203117,OSM_OVERPASS,10591203117,OSM_TRANSPORT_POIS_20260918,Karunguzhi Town Panchayat,Karunguzhi Town Panchayat,,,government_office,12.5362401,79.9025834,False,
OSM_POI_3082849503,OSM_OVERPASS,3082849503,OSM_TRANSPORT_POIS_20260918,Karpaga Vinayaga Institute Of Medical Sciences,Karpaga Vinayaga Institute Of Medical Sciences,,,hospital,12.5921821,79.9129801,False,
OSM_POI_7257518666,OSM_OVERPASS,7257518666,OSM_TRANSPORT_POIS_20260918,Karpaga Vinayaga Medical College Hospital,Karpaga Vinayaga Medical College Hospital,,,hospital,12.59309,79.911265,False,
OSM_POI_7257518724,OSM_OVERPASS,7257518724,OSM_TRANSPORT_POIS_20260918,Padalam Government Hospital,Padalam Government Hospital,,,hospital,12.59136,79.950767,False,
OSM_POI_4849608923,OSM_OVERPASS,4849608923,OSM_TRANSPORT_POIS_20260918,HONDA BIKE SHOW ROOM,HONDA BIKE SHOW ROOM,,,tourist_attraction,12.5020455,80.1492585,True,
OSM_POI_7257518764,OSM_OVERPASS,7257518764,OSM_TRANSPORT_POIS_20260918,St.Mary'S Hospital,St.Mary'S Hospital,,,hospital,12.50271,80.151551,True,
OSM_POI_353073527,OSM_OVERPASS,353073527,OSM_TRANSPORT_POIS_20260918,DAE Hospital,DAE Hospital,,,hospital,12.5037319,80.159635,True,
OSM_POI_4893391921,OSM_OVERPASS,4893391921,OSM_TRANSPORT_POIS_20260918,GSO Office,GSO Office,,,government_office,12.5020223,80.1580634,True,
OSM_POI_368307280,OSM_OVERPASS,368307280,OSM_TRANSPORT_POIS_20260918,Govt Primary Health Centre,Govt Primary Health Centre,,,hospital,12.5274531,80.1631378,True,
OSM_POI_4857382121,OSM_OVERPASS,4857382121,OSM_TRANSPORT_POIS_20260918,Indura gandhi center for atomic research,Indura gandhi center for atomic research,,,government_office,12.5377083,80.163928,True,
OSM_POI_7820652160,OSM_OVERPASS,7820652160,OSM_TRANSPORT_POIS_20260918,Sri Venkateshwara Hospital,Sri Venkateshwara Hospital,,,hospital,12.5643829,80.1191531,True,
OSM_POI_314081186,OSM_OVERPASS,314081186,OSM_TRANSPORT_POIS_20260918,Hindustan Maritime Institute,Hindustan Maritime Institute,,,college,12.5496672,80.1448235,True,
OSM_POI_577328882,OSM_OVERPASS,577328882,OSM_TRANSPORT_POIS_20260918,Great Lakes Institute Of Management,Great Lakes Institute Of Management,,,college,12.5709365,80.1394538,True,
OSM_POI_7257518734,OSM_OVERPASS,7257518734,OSM_TRANSPORT_POIS_20260918,"Government Hospital, Uthiramerur","Government Hospital, Uthiramerur",,,hospital,12.61502,79.760806,False,
OSM_POI_7820652148,OSM_OVERPASS,7820652148,OSM_TRANSPORT_POIS_20260918,Anthonyammal Hospital,Anthonyammal Hospital,,,hospital,12.615871,79.758965,False,
OSM_POI_7820652195,OSM_OVERPASS,7820652195,OSM_TRANSPORT_POIS_20260918,Anandajyoti Hospitals,Anandajyoti Hospitals,,,hospital,12.6180278,79.7594709,False,
OSM_POI_6232666489,OSM_OVERPASS,6232666489,OSM_TRANSPORT_POIS_20260918,SUB REGISTRAR OFFICE KANCHIPURAM ALL,SUB REGISTRAR OFFICE KANCHIPURAM ALL,,,government_office,12.808647,79.7162861,True,
OSM_POI_7266257993,OSM_OVERPASS,7266257993,OSM_TRANSPORT_POIS_20260918,Ayanpet rural office,Ayanpet rural office,,,government_office,12.8084535,79.7571138,True,
OSM_POI_7257289021,OSM_OVERPASS,7257289021,OSM_TRANSPORT_POIS_20260918,"Goverment Hospital, Avaloor","Goverment Hospital, Avaloor",,,hospital,12.7847085,79.8034304,False,
OSM_POI_7257289040,OSM_OVERPASS,7257289040,OSM_TRANSPORT_POIS_20260918,APJ Hospital,APJ Hospital,,,hospital,12.7947227,79.8162415,True,
OSM_POI_5300479525,OSM_OVERPASS,5300479525,OSM_TRANSPORT_POIS_20260918,Government hospital,Government hospital,,,hospital,12.7939715,79.8175725,True,
OSM_POI_7266259287,OSM_OVERPASS,7266259287,OSM_TRANSPORT_POIS_20260918,Government siddha hospital,Government siddha hospital,,,hospital,12.7956393,79.8183483,True,
OSM_POI_7820652201,OSM_OVERPASS,7820652201,OSM_TRANSPORT_POIS_20260918,Mother Care Hospital,Mother Care Hospital,,,hospital,12.605737,79.921047,False,
OSM_POI_469108935,OSM_OVERPASS,469108935,OSM_TRANSPORT_POIS_20260918,Shri Andal Alagar college of Engineering,Shri Andal Alagar college of Engineering,,,college,12.6332263,79.9274322,False,
OSM_POI_469116624,OSM_OVERPASS,469116624,OSM_TRANSPORT_POIS_20260918,Pepsi boteling plant,Pepsi boteling plant,,,tourist_attraction,12.6327372,79.9306867,False,
OSM_POI_7820802388,OSM_OVERPASS,7820802388,OSM_TRANSPORT_POIS_20260918,Government Hospital,Government Hospital,,,hospital,12.675575,79.978293,True,
OSM_POI_11002504765,OSM_OVERPASS,11002504765,OSM_TRANSPORT_POIS_20260918,Office Of Divisional Engineer,Office Of Divisional Engineer,,,government_office,12.6760403,79.9772408,True,
OSM_POI_7820802389,OSM_OVERPASS,7820802389,OSM_TRANSPORT_POIS_20260918,Sri Siddhalaym Hospital,Sri Siddhalaym Hospital,,,hospital,12.6701352,79.9848253,True,
OSM_POI_11002504766,OSM_OVERPASS,11002504766,OSM_TRANSPORT_POIS_20260918,Office Of Deputy Registrar Of CoOperative Societies,Office Of Deputy Registrar Of CoOperative Societies,,,government_office,12.6787989,79.97821,True,
