official_route_code,official_route_label,service_category,match_type,gtfs_route_count,gtfs_route_ids,gtfs_short_names,notes
101,101,regular,one_to_many,14,GTFS_ROUTE_18117|GTFS_ROUTE_18141|GTFS_ROUTE_18317|GTFS_ROUTE_18316|GTFS_ROUTE_18327|GTFS_ROUTE_17953|GTFS_ROUTE_18330|GTFS_ROUTE_16917|GTFS_ROUTE_16952|GTFS_ROUTE_16926|GTFS_ROUTE_18143|GTFS_ROUTE_18144|GTFS_ROUTE_18145|GTFS_ROUTE_16949,101|101|101|101|101|101|101|101|101|101|101|101|101|101,Matches 14 operational GTFS directional/cut-trip variants
101CT,101CT,cut_trip,one_to_many,4,GTFS_ROUTE_18986|GTFS_ROUTE_21367|GTFS_ROUTE_22653|GTFS_ROUTE_22798,101 CT|101CT|101 CT|101CT,Matches 4 operational GTFS directional/cut-trip variants
101E,101E,express,one_to_many,2,GTFS_ROUTE_23242|GTFS_ROUTE_23241,101E|101E,Matches 2 operational GTFS directional/cut-trip variants
101X,101X,deluxe_express,one_to_many,2,GTFS_ROUTE_21419|GTFS_ROUTE_22313,101X|101X,Matches 2 operational GTFS directional/cut-trip variants
102,102,regular,one_to_many,2,GTFS_ROUTE_16861|GTFS_ROUTE_24079,102|102,Matches 2 operational GTFS directional/cut-trip variants
102A,102A,regular,one_to_many,2,GTFS_ROUTE_10248|GTFS_ROUTE_23155,102A|102A,Matches 2 operational GTFS directional/cut-trip variants
102C,102C,regular,one_to_many,3,GTFS_ROUTE_10251|GTFS_ROUTE_17480|GTFS_ROUTE_23157,102C|102C|102C,Matches 3 operational GTFS directional/cut-trip variants
102CT,102CT,cut_trip,one_to_many,4,GTFS_ROUTE_17431|GTFS_ROUTE_18486|GTFS_ROUTE_17428|GTFS_ROUTE_23164,102CT|102CT|102CT|102 CT,Matches 4 operational GTFS directional/cut-trip variants
102E,102E,express,one_to_many,2,GTFS_ROUTE_24047|GTFS_ROUTE_24048,102E|102E,Matches 2 operational GTFS directional/cut-trip variants
102K,102K,regular,one_to_many,6,GTFS_ROUTE_17355|GTFS_ROUTE_19745|GTFS_ROUTE_19171|GTFS_ROUTE_19172|GTFS_ROUTE_17384|GTFS_ROUTE_17386,102K|102K|102K|102K|102K|102K,Matches 6 operational GTFS directional/cut-trip variants
102K#,102K#,regular,unmatched,0,,,Official route code not present in community GTFS snapshot
102M,102M,regular,one_to_many,2,GTFS_ROUTE_23113|GTFS_ROUTE_23168,102M|102M,Matches 2 operational GTFS directional/cut-trip variants
102P,102P,regular,unmatched,0,,,Official route code not present in community GTFS snapshot
102S,102S,regular,one_to_one,1,GTFS_ROUTE_23175,102S,Exact single commercial route variant match
102X,102X,deluxe_express,one_to_many,5,GTFS_ROUTE_8472|GTFS_ROUTE_10457|GTFS_ROUTE_10443|GTFS_ROUTE_14059|GTFS_ROUTE_14064,102X|102X|102X|102X|102X,Matches 5 operational GTFS directional/cut-trip variants
104,104,regular,one_to_many,5,GTFS_ROUTE_18116|GTFS_ROUTE_16835|GTFS_ROUTE_16841|GTFS_ROUTE_16846|GTFS_ROUTE_16843,104|104|104|104|104,Matches 5 operational GTFS directional/cut-trip variants
104A,104A,regular,one_to_many,6,GTFS_ROUTE_10526|GTFS_ROUTE_10522|GTFS_ROUTE_10529|GTFS_ROUTE_10519|GTFS_ROUTE_22803|GTFS_ROUTE_22805,104A|104A|104A|104A|104A|104A,Matches 6 operational GTFS directional/cut-trip variants
104C,104C,regular,one_to_many,2,GTFS_ROUTE_8917|GTFS_ROUTE_23087,104C|104C,Matches 2 operational GTFS directional/cut-trip variants
104CX,104CX,deluxe_express,one_to_many,4,GTFS_ROUTE_15932|GTFS_ROUTE_3478|GTFS_ROUTE_3480|GTFS_ROUTE_15933,104CX|104CX|104CX|104CX,Matches 4 operational GTFS directional/cut-trip variants
104F,104F,regular,one_to_many,5,GTFS_ROUTE_18972|GTFS_ROUTE_10568|GTFS_ROUTE_10578|GTFS_ROUTE_10577|GTFS_ROUTE_10561,104F|104F|104F|104F|104F,Matches 5 operational GTFS directional/cut-trip variants
104G,104G,regular,one_to_many,4,GTFS_ROUTE_10579|GTFS_ROUTE_10580|GTFS_ROUTE_18270|GTFS_ROUTE_20233,104G|104G|104G|104G,Matches 4 operational GTFS directional/cut-trip variants
104K,104K,regular,one_to_many,4,GTFS_ROUTE_10642|GTFS_ROUTE_9634|GTFS_ROUTE_15863|GTFS_ROUTE_22643,104K|104K|104K|104K,Matches 4 operational GTFS directional/cut-trip variants
104M,104M,regular,one_to_many,4,GTFS_ROUTE_10668|GTFS_ROUTE_10670|GTFS_ROUTE_10672|GTFS_ROUTE_10674,104M|104M|104M|104M,Matches 4 operational GTFS directional/cut-trip variants
104P,104P,regular,one_to_many,2,GTFS_ROUTE_10678|GTFS_ROUTE_24087,104P|104P,Matches 2 operational GTFS directional/cut-trip variants
