route_code,route_label,service_category,agency_id,source_id,raw_file_id,disclosure_date
101,101,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
101CT,101CT,cut_trip,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
101E,101E,express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
101X,101X,deluxe_express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
102,102,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
102A,102A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
102C,102C,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
102CT,102CT,cut_trip,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
102E,102E,express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
102K,102K,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
102K#,102K#,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
102M,102M,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
102P,102P,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
102S,102S,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
102X,102X,deluxe_express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
104,104,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
104A,104A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
104C,104C,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
104CX,104CX,deluxe_express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
104F,104F,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
104G,104G,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
104K,104K,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
104M,104M,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
104P,104P,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
104T,104T,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
105,105,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
105A,105A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
109,109,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
109A,109A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
109C,109C,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
109CT,109CT,cut_trip,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
109T,109T,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
109X,109X,deluxe_express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
10A,10A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
10E,10E,express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
11,11,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
111,111,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
111ET,111ET,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
113,113,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
113A,113A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
114,114,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
114A,114A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
114C,114C,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
114CCT,114CCT,cut_trip,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
114D,114D,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
114E,114E,express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
114ET,114ET,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
114G,114G,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
114P,114P,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
114S,114S,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
118,118,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
118ET,118ET,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
118G,118G,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
118N,118N,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
118P,118P,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
118T,118T,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
119,119,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
119G,119G,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
11G,11G,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
11M,11M,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
120,120,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
120A,120A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
120CT,120CT,cut_trip,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
120E,120E,express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
120F,120F,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
120G,120G,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
120K,120K,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
120KET,120KET,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
121,121,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
121A,121A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
121C,121C,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
121CT,121CT,cut_trip,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
121D,121D,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
121G,121G,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
121M,121M,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
121MET,121MET,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
129C,129C,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
12B,12B,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
12G,12G,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
12M,12M,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
12X,12X,deluxe_express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
13,13,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
142,142,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
142B,142B,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
142P,142P,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
147A,147A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
147B,147B,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
147C,147C,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
147V,147V,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
14A,14A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
14M,14M,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
15,15,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
150,150,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
153,153,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
153A,153A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
153C,153C,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
153P,153P,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
153T,153T,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
154,154,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
154B,154B,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
154E,154E,express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
154P,154P,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
155A,155A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
157,157,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
157E,157E,express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
159,159,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
159B,159B,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
159E,159E,express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
159K,159K,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
15BET,15BET,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
15F,15F,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
15G,15G,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
164,164,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
166,166,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
166K,166K,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
16J,16J,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
16K,16K,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
170A,170A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
170C,170C,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
170CE,170CE,express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
170K,170K,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
170T,170T,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
170TX,170TX,deluxe_express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
17D,17D,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
17E,17E,express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
17K,17K,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
188A,188A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
188C,188C,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
188E,188E,express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
188ET,188ET,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
188K,188K,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
188T,188T,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
18A,18A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
18ACT,18ACT,cut_trip,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
18B,18B,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
18D,18D,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
18E,18E,express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
18H,18H,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
18K,18K,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
18M,18M,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
18N,18N,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
18P,18P,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
18R,18R,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
18RX,18RX,deluxe_express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
18S,18S,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
18X,18X,deluxe_express,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
19,19,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
19A,19A,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
19B,19B,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
19BET,19BET,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
19C,19C,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
19D,19D,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
19T,19T,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
1C,1C,regular,MTC,MTC_OFFICIAL,MTC_OFFICIAL_ROUTES_20260918,2026-08-07
