normalized_route_id,source_id,source_route_id,agency,route_short_name,route_long_name,mode,route_type,status
CMRL_BLUE_CORRIDOR_1,CMRL_API,CORRIDOR_1,CMRL,Blue Line,Wimco Nagar Depot to Chennai International Airport,metro,1,operational
CMRL_GREEN_CORRIDOR_2,CMRL_API,CORRIDOR_2,CMRL,Green Line,Puratchi Thalaivar Dr. M.G. Ramachandran Central to St. Thomas Mount,metro,1,operational
CMRL_CORRIDOR_3_PHASE2,CMRL_OFFICIAL,CORRIDOR_3,CMRL,Purple Line (Phase II),Madhavaram to SIPCOT (45.8 km),metro,1,under_construction
CMRL_CORRIDOR_4_PHASE2,CMRL_OFFICIAL,CORRIDOR_4,CMRL,Orange Line (Phase II),Lighthouse to Poonamalle Bypass (26.1 km),metro,1,under_construction
CMRL_CORRIDOR_5_PHASE2,CMRL_OFFICIAL,CORRIDOR_5,CMRL,Red Line (Phase II),Madhavaram to Sholinganallur (47.0 km),metro,1,under_construction
GTFS_ROUTE_18751,CHENNAI_COMMUNITY_GTFS,18751,MTC,29A,Anna Square TO Perambur B.T,bus,3,operational
GTFS_ROUTE_18750,CHENNAI_COMMUNITY_GTFS,18750,MTC,12G,Sathya Nagar TO Lady Willingdon College Of Education,bus,3,operational
GTFS_ROUTE_23728,CHENNAI_COMMUNITY_GTFS,23728,MTC,11 R,Royapuram TO Thiyagarayanagar,bus,3,operational
GTFS_ROUTE_18753,CHENNAI_COMMUNITY_GTFS,18753,MTC,22 CT,Anna Square TO Ayanavaram,bus,3,operational
GTFS_ROUTE_20494,CHENNAI_COMMUNITY_GTFS,20494,MTC,15 CT8,Anna Nagar West TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_23729,CHENNAI_COMMUNITY_GTFS,23729,MTC,13 R,Island ground TO Thiyagarayanagar,bus,3,operational
GTFS_ROUTE_18755,CHENNAI_COMMUNITY_GTFS,18755,MTC,29A CT,Secretariat TO Perambur B.T,bus,3,operational
GTFS_ROUTE_18756,CHENNAI_COMMUNITY_GTFS,18756,MTC,29D,Vivekananda House TO Mathur M.M.D.A.,bus,3,operational
GTFS_ROUTE_18758,CHENNAI_COMMUNITY_GTFS,18758,MTC,40A CT,Anna Square TO Avadi B.T,bus,3,operational
GTFS_ROUTE_18761,CHENNAI_COMMUNITY_GTFS,18761,MTC,T23C CT,Saidapet TO Ayanavaram,bus,3,operational
GTFS_ROUTE_4946,CHENNAI_COMMUNITY_GTFS,4946,MTC,579K,Walajabad TO Tambaram,bus,3,operational
GTFS_ROUTE_11919,CHENNAI_COMMUNITY_GTFS,11919,MTC,55K,Tambaram West TO Guduvanchery,bus,3,operational
GTFS_ROUTE_20496,CHENNAI_COMMUNITY_GTFS,20496,MTC,21 CT1,Guindy Industrial  TO  Royapuram,bus,3,operational
GTFS_ROUTE_18762,CHENNAI_COMMUNITY_GTFS,18762,MTC,T23C,Thiruvanmiyur TO Ayanavaram,bus,3,operational
GTFS_ROUTE_10684,CHENNAI_COMMUNITY_GTFS,10684,MTC,104T,T.V.K.Nagar TO Otteri,bus,3,operational
GTFS_ROUTE_23732,CHENNAI_COMMUNITY_GTFS,23732,MTC,154 R1,Thyagaraya Nagar TO Poonamallee B.T,bus,3,operational
GTFS_ROUTE_18763,CHENNAI_COMMUNITY_GTFS,18763,MTC,T23C CT1,Thiruvanmiyur TO Egmore,bus,3,operational
GTFS_ROUTE_23733,CHENNAI_COMMUNITY_GTFS,23733,MTC,154 R,Poonamallee B.T TO Thyagaraya Nagar,bus,3,operational
GTFS_ROUTE_15885,CHENNAI_COMMUNITY_GTFS,15885,MTC,570Et,Anna Nagar West TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_13402,CHENNAI_COMMUNITY_GTFS,13402,MTC,S43,Pudur TO Villivakkam,bus,3,operational
GTFS_ROUTE_17675,CHENNAI_COMMUNITY_GTFS,17675,MTC,579K,Kilambakkam B.T TO Walajabad,bus,3,operational
GTFS_ROUTE_18764,CHENNAI_COMMUNITY_GTFS,18764,MTC,12X,Foreshore Estate TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_19805,CHENNAI_COMMUNITY_GTFS,19805,MTC,S90,Tambaram West B.S TO Gundumedu,bus,3,operational
GTFS_ROUTE_12581,CHENNAI_COMMUNITY_GTFS,12581,MTC,70H,Hasthinapuram TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_11791,CHENNAI_COMMUNITY_GTFS,11791,MTC,549,Thiruvanmiyur TO Sriperumbudur,bus,3,operational
GTFS_ROUTE_17676,CHENNAI_COMMUNITY_GTFS,17676,MTC,170Tx,Kaviarasu Kannadasan Nagar TO M.G.R.Koyambedu,bus,3,operational
GTFS_ROUTE_16303,CHENNAI_COMMUNITY_GTFS,16303,MTC,170Tx,Moolakadai TO Kilambakkam B.S,bus,3,operational
GTFS_ROUTE_15127,CHENNAI_COMMUNITY_GTFS,15127,MTC,19C,Okk.Thoraipakm Sec.Colony TO Adyar B.T,bus,3,operational
GTFS_ROUTE_17957,CHENNAI_COMMUNITY_GTFS,17957,MTC,95X,Kilambakkam B.S TO Shozhanganallur,bus,3,operational
GTFS_ROUTE_13298,CHENNAI_COMMUNITY_GTFS,13298,MTC,S25,Vadapalani TO Valasaravakkam,bus,3,operational
GTFS_ROUTE_13301,CHENNAI_COMMUNITY_GTFS,13301,MTC,S25,Valasaravakkam TO Vadapalani,bus,3,operational
GTFS_ROUTE_3516,CHENNAI_COMMUNITY_GTFS,3516,MTC,95X,Tambaram East Bus Stop TO Shozhanganallur,bus,3,operational
GTFS_ROUTE_13304,CHENNAI_COMMUNITY_GTFS,13304,MTC,S25,Valasaravakkam TO Maduravoyal Market,bus,3,operational
GTFS_ROUTE_18769,CHENNAI_COMMUNITY_GTFS,18769,MTC,88CEt,Thyagaraya Nagar TO Iyyappanthangal,bus,3,operational
GTFS_ROUTE_23735,CHENNAI_COMMUNITY_GTFS,23735,MTC,154P,Thyagaraya Nagar TO Pattur,bus,3,operational
GTFS_ROUTE_18770,CHENNAI_COMMUNITY_GTFS,18770,MTC,88CEt,Thyagaraya Nagar TO Nandambakkam Village,bus,3,operational
GTFS_ROUTE_23736,CHENNAI_COMMUNITY_GTFS,23736,MTC,154P,Pattur TO Thyagaraya Nagar,bus,3,operational
GTFS_ROUTE_11788,CHENNAI_COMMUNITY_GTFS,11788,MTC,549,Poonamallee B.T TO Thiruvanmiyur,bus,3,operational
GTFS_ROUTE_11789,CHENNAI_COMMUNITY_GTFS,11789,MTC,549,Sriperumbudur TO Thiruvanmiyur,bus,3,operational
GTFS_ROUTE_11790,CHENNAI_COMMUNITY_GTFS,11790,MTC,549,Thiruvanmiyur TO Poonamallee B.T,bus,3,operational
GTFS_ROUTE_17956,CHENNAI_COMMUNITY_GTFS,17956,MTC,99X,Kilambakkam B.S TO Semmenchery,bus,3,operational
GTFS_ROUTE_17678,CHENNAI_COMMUNITY_GTFS,17678,MTC,549,Poonamallee B.T TO Sriperumbudur,bus,3,operational
GTFS_ROUTE_17679,CHENNAI_COMMUNITY_GTFS,17679,MTC,579C,Tambaram Sanatorium TO Walajabad,bus,3,operational
GTFS_ROUTE_18783,CHENNAI_COMMUNITY_GTFS,18783,MTC,129C,Perambur B.T TO Besant Nagar,bus,3,operational
GTFS_ROUTE_18787,CHENNAI_COMMUNITY_GTFS,18787,MTC,29B CT,Madhavaram Milk Colony TO L.F.C,bus,3,operational
GTFS_ROUTE_18788,CHENNAI_COMMUNITY_GTFS,18788,MTC,29B CT,Madhavaram Milk Colony Main Gate TO Gemini,bus,3,operational
GTFS_ROUTE_18789,CHENNAI_COMMUNITY_GTFS,18789,MTC,29C CT,Perambur B.T TO Mandaveli,bus,3,operational
GTFS_ROUTE_18790,CHENNAI_COMMUNITY_GTFS,18790,MTC,29CEt CT1,Perambur B.T TO Besant Nagar,bus,3,operational
GTFS_ROUTE_18794,CHENNAI_COMMUNITY_GTFS,18794,MTC,T29C CT,Perambur Bus Terminus TO Mandaveli,bus,3,operational
