stage_id,stage_name,agency_id,source_id,raw_file_id
MTC_STAGE_0002_100_FEET_ROAD_JN,100 FEET ROAD JN.,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
MTC_STAGE_0003_12_THJN_OF_III_AND_1,12 THJN OF III AND 1ST AVE,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
MTC_STAGE_0004_230_K_V_TOWER,230 K.V.TOWER,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
MTC_STAGE_0005_2ND_WATER_TANK_ON_SE,2ND WATER TANK ON SECOND AVE.,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
MTC_STAGE_0006_A_G_S_OFFICER_S_COLO,A.G.S.OFFICER'S COLONY,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
MTC_STAGE_0007_A_M_S_HOSPITAL,A.M.S.HOSPITAL,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
MTC_STAGE_0008_A_V_CONSTRUCTION,A.V.CONSTRUCTION,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
MTC_STAGE_0009_AACHI_MASALA_FOODS,AACHI MASALA FOODS,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
MTC_STAGE_0010_AAFS_CROSS_ROAD,AAFS CROSS ROAD,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
MTC_STAGE_0011_AAR_COLONY,AAR COLONY,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
MTC_STAGE_0012_AAYA_KOLATHUR,AAYA KOLATHUR,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
MTC_STAGE_0013_AAYURVEDA_ASHRAMAM,AAYURVEDA ASHRAMAM,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
MTC_STAGE_0014_ABIRAMI_MADAM,ABIRAMI MADAM,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
MTC_STAGE_0015_ACS_HOSPITAL,ACS HOSPITAL,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
MTC_STAGE_0016_ADAMBAKKAM,ADAMBAKKAM,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
MTC_STAGE_0017_ADAMBAKKAM_P_S,ADAMBAKKAM P.S,MTC,MTC_OFFICIAL,MTC_OFFICIAL_STAGES_20260918
