normalized_id,source_id,source_record_id,raw_file_id,original_name,normalized_name,name_ta,name_hi,mode,stop_type,original_latitude,original_longitude,normalized_latitude,normalized_longitude,coordinate_plausible,inside_cma,parent_station,agency,operational_status
CMRL_API_6932,CMRL_API,6932,CMRL_WP_API_20260918,Puratchi Thalaivar Dr. M.G.Ramachandran Central Metro,Puratchi Thalaivar Dr. M.G.Ramachandran Central Metro,,,metro,metro_station,13.080650909851306,80.27259356057777,13.080650909851306,80.27259356057777,True,True,,CMRL,operational
CMRL_API_6930,CMRL_API,6930,CMRL_WP_API_20260918,Egmore Metro,Egmore Metro,,,metro,metro_station,13.0790573,80.2611065,13.0790573,80.2611065,True,True,,CMRL,operational
CMRL_API_6928,CMRL_API,6928,CMRL_WP_API_20260918,Nehru Park,Nehru Park,,,metro,metro_station,13.0786275,80.2508538,13.0786275,80.2508538,True,True,,CMRL,operational
CMRL_API_6926,CMRL_API,6926,CMRL_WP_API_20260918,Kilpauk,Kilpauk,,,metro,metro_station,13.077730246760455,80.22469384074951,13.077730246760455,80.22469384074951,True,True,,CMRL,operational
CMRL_API_6924,CMRL_API,6924,CMRL_WP_API_20260918,Pachaiyappa's College,Pachaiyappa's College,,,metro,metro_station,13.075574,80.232315,13.075574,80.232315,True,True,,CMRL,operational
CMRL_API_6922,CMRL_API,6922,CMRL_WP_API_20260918,Shenoy Nagar,Shenoy Nagar,,,metro,metro_station,13.078704912524804,80.22255957321178,13.078704912524804,80.22255957321178,True,True,,CMRL,operational
CMRL_API_6920,CMRL_API,6920,CMRL_WP_API_20260918,Anna Nagar East,Anna Nagar East,,,metro,metro_station,13.0847975,80.218657,13.0847975,80.218657,True,True,,CMRL,operational
CMRL_API_6918,CMRL_API,6918,CMRL_WP_API_20260918,Anna Nagar Tower,Anna Nagar Tower,,,metro,metro_station,13.0849752,80.2087247,13.0849752,80.2087247,True,True,,CMRL,operational
CMRL_API_6916,CMRL_API,6916,CMRL_WP_API_20260918,Thirumangalam,Thirumangalam,,,metro,metro_station,13.0852626,80.201574,13.0852626,80.201574,True,True,,CMRL,operational
CMRL_API_6914,CMRL_API,6914,CMRL_WP_API_20260918,Koyambedu,Koyambedu,,,metro,metro_station,13.073257865971941,80.1929990571153,13.073257865971941,80.1929990571153,True,True,,CMRL,operational
CMRL_API_6912,CMRL_API,6912,CMRL_WP_API_20260918,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT Metro,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT Metro,,,metro,metro_station,13.068749368997844,80.2018460624593,13.068749368997844,80.2018460624593,True,True,,CMRL,operational
CMRL_API_6910,CMRL_API,6910,CMRL_WP_API_20260918,Arumbakkam,Arumbakkam,,,metro,metro_station,13.061999074679951,80.21131235746036,13.061999074679951,80.21131235746036,True,True,,CMRL,operational
CMRL_API_6908,CMRL_API,6908,CMRL_WP_API_20260918,Vadapalani,Vadapalani,,,metro,metro_station,13.050118448188027,80.2054053769342,13.050118448188027,80.2054053769342,True,True,,CMRL,operational
CMRL_API_6906,CMRL_API,6906,CMRL_WP_API_20260918,Ashok Nagar,Ashok Nagar,,,metro,metro_station,13.035661671433154,80.21095131964783,13.035661671433154,80.21095131964783,True,True,,CMRL,operational
CMRL_API_6904,CMRL_API,6904,CMRL_WP_API_20260918,Ekkattuthangal,Ekkattuthangal,,,metro,metro_station,13.016606965423183,80.20494300304732,13.016606965423183,80.20494300304732,True,True,,CMRL,operational
CMRL_API_6899,CMRL_API,6899,CMRL_WP_API_20260918,Arignar Anna Alandur Metro,Arignar Anna Alandur Metro,,,metro,metro_station,13.003989704098222,80.20064840110591,13.003989704098222,80.20064840110591,True,True,,CMRL,operational
CMRL_API_6897,CMRL_API,6897,CMRL_WP_API_20260918,St. Thomas Mount Metro,St. Thomas Mount Metro,,,metro,metro_station,12.9952695,80.1988314,12.9952695,80.1988314,True,True,,CMRL,operational
CMRL_API_6740,CMRL_API,6740,CMRL_WP_API_20260918,Wimco Nagar Depot Metro,Wimco Nagar Depot Metro,,,metro,metro_station,13.182051189053226,80.30207580778237,13.182051189053226,80.30207580778237,True,True,,CMRL,operational
CMRL_API_6738,CMRL_API,6738,CMRL_WP_API_20260918,Wimco Nagar Metro,Wimco Nagar Metro,,,metro,metro_station,13.17980338532951,80.3046587788574,13.17980338532951,80.3046587788574,True,True,,CMRL,operational
CMRL_API_6736,CMRL_API,6736,CMRL_WP_API_20260918,Thiruvotriyur Metro,Thiruvotriyur Metro,,,metro,metro_station,13.179829282695415,80.29693394845347,13.179829282695415,80.29693394845347,True,True,,CMRL,operational
CMRL_API_6733,CMRL_API,6733,CMRL_WP_API_20260918,Thiruvottriyur Theradi Metro,Thiruvottriyur Theradi Metro,,,metro,metro_station,13.159873210723175,80.29982707479635,13.159873210723175,80.29982707479635,True,True,,CMRL,operational
CMRL_API_6731,CMRL_API,6731,CMRL_WP_API_20260918,Kaladipet Metro,Kaladipet Metro,,,metro,metro_station,13.151050510919191,80.2968370747963,13.151050510919191,80.2968370747963,True,True,,CMRL,operational
CMRL_API_6729,CMRL_API,6729,CMRL_WP_API_20260918,Tollgate Metro,Tollgate Metro,,,metro,metro_station,13.143524111086228,80.2937444747962,13.143524111086228,80.2937444747962,True,True,,CMRL,operational
CMRL_API_6727,CMRL_API,6727,CMRL_WP_API_20260918,New Washermenpet Metro,New Washermenpet Metro,,,metro,metro_station,13.134414411288386,80.29027622479602,13.134414411288386,80.29027622479602,True,True,,CMRL,operational
CMRL_API_6725,CMRL_API,6725,CMRL_WP_API_20260918,Tondiarpet Metro,Tondiarpet Metro,,,metro,metro_station,13.124325437205261,80.28611267507907,13.124325437205261,80.28611267507907,True,True,,CMRL,operational
CMRL_API_6723,CMRL_API,6723,CMRL_WP_API_20260918,Sir Thiyagaraya College Metro,Sir Thiyagaraya College Metro,,,metro,metro_station,13.116603083447972,80.28051416843866,13.116603083447972,80.28051416843866,True,True,,CMRL,operational
CMRL_API_6720,CMRL_API,6720,CMRL_WP_API_20260918,Washermenpet Metro,Washermenpet Metro,,,metro,metro_station,13.126228366401827,80.24298906980071,13.126228366401827,80.24298906980071,True,True,,CMRL,operational
CMRL_API_6718,CMRL_API,6718,CMRL_WP_API_20260918,Mannadi,Mannadi,,,metro,metro_station,13.095684862148422,80.28351647373415,13.095684862148422,80.28351647373415,True,True,,CMRL,operational
CMRL_API_6716,CMRL_API,6716,CMRL_WP_API_20260918,Highcourt,Highcourt,,,metro,metro_station,13.087896312320611,80.28290802373395,13.087896312320611,80.28290802373395,True,True,,CMRL,operational
CMRL_API_7090,CMRL_API,7090,CMRL_WP_API_20260918,Puratchi Thalaivar Dr. M.G.Ramachandran Central Metro,Puratchi Thalaivar Dr. M.G.Ramachandran Central Metro,,,metro,metro_station,13.080650909851306,80.27259356057777,13.080650909851306,80.27259356057777,True,True,,CMRL,operational
CMRL_API_6712,CMRL_API,6712,CMRL_WP_API_20260918,Government Estate,Government Estate,,,metro,metro_station,13.069563012725673,80.27028177373363,13.069563012725673,80.27028177373363,True,True,,CMRL,operational
CMRL_API_6708,CMRL_API,6708,CMRL_WP_API_20260918,LIC,LIC,,,metro,metro_station,13.06454431283645,80.26349997373349,13.06454431283645,80.26349997373349,True,True,,CMRL,operational
CMRL_API_6706,CMRL_API,6706,CMRL_WP_API_20260918,Thousand Lights,Thousand Lights,,,metro,metro_station,13.058127062978048,80.25575347373342,13.058127062978048,80.25575347373342,True,True,,CMRL,operational
CMRL_API_6704,CMRL_API,6704,CMRL_WP_API_20260918,AG &#8211; DMS,AG &#8211; DMS,,,metro,metro_station,13.045251063261999,80.24566532373316,13.045251063261999,80.24566532373316,True,True,,CMRL,operational
CMRL_API_6702,CMRL_API,6702,CMRL_WP_API_20260918,Teynampet,Teynampet,,,metro,metro_station,13.03711844539991,80.24551377789689,13.03711844539991,80.24551377789689,True,True,,CMRL,operational
CMRL_API_6700,CMRL_API,6700,CMRL_WP_API_20260918,Nandanam,Nandanam,,,metro,metro_station,13.031958313555847,80.23958227321089,13.031958313555847,80.23958227321089,True,True,,CMRL,operational
CMRL_API_6698,CMRL_API,6698,CMRL_WP_API_20260918,Saidapet Metro,Saidapet Metro,,,metro,metro_station,13.023617963573042,80.22360160946843,13.023617963573042,80.22360160946843,True,True,,CMRL,operational
CMRL_API_6696,CMRL_API,6696,CMRL_WP_API_20260918,Little Mount,Little Mount,,,metro,metro_station,13.014562787304808,80.22136727507717,13.014562787304808,80.22136727507717,True,True,,CMRL,operational
CMRL_API_6694,CMRL_API,6694,CMRL_WP_API_20260918,Guindy,Guindy,,,metro,metro_station,13.009371255723211,80.19463584060242,13.009371255723211,80.19463584060242,True,True,,CMRL,operational
CMRL_API_7092,CMRL_API,7092,CMRL_WP_API_20260918,Arignar Anna Alandur Metro,Arignar Anna Alandur Metro,,,metro,metro_station,13.003989704098222,80.20064840110591,13.003989704098222,80.20064840110591,True,True,,CMRL,operational
CMRL_API_6690,CMRL_API,6690,CMRL_WP_API_20260918,OTA-Nanganallur Road,OTA-Nanganallur Road,,,metro,metro_station,13.000059014253818,80.19157157500499,13.000059014253818,80.19157157500499,True,True,,CMRL,operational
CMRL_API_6677,CMRL_API,6677,CMRL_WP_API_20260918,Meenambakkam,Meenambakkam,,,metro,metro_station,12.98784601318242,80.1754832739529,12.98784601318242,80.1754832739529,True,True,,CMRL,operational
CMRL_API_6675,CMRL_API,6675,CMRL_WP_API_20260918,Chennai International Airport,Chennai International Airport,,,metro,metro_station,12.9808255,80.1642095,12.9808255,80.1642095,True,True,,CMRL,operational
OSM_RAIL_248467412,OSM_OVERPASS,248467412,OSM_RAIL_METRO_STATIONS_20260918,Chennai Chetpet,Chennai Chetpet,சேத்துப்பட்டு,,suburban_rail,railway_station,13.0743424,80.242421,13.0743424,80.242421,True,True,,Southern Railway,operational
