data_category,CUMTA_OFFICIAL,CMRL_API,CMRL_WEB,MTC_OFFICIAL,SOUTHERN_RAILWAY_DOCS,OSM_OVERPASS,CHENNAI_COMMUNITY_GTFS,CURATED_MULTIMODAL_UNVERIFIED,CUMTA_TNGIS
Metro stations,not_available,complete,complete,not_applicable,not_applicable,complete,not_applicable,complete,not_applicable
Metro station codes,not_available,not_available,partial,not_applicable,not_applicable,partial,not_applicable,complete,not_applicable
Metro coordinates,not_available,partial,partial,not_applicable,not_applicable,complete,not_applicable,complete,not_applicable
Metro entrances,not_available,not_available,complete,not_applicable,not_applicable,partial,not_applicable,not_available,not_applicable
Metro facilities,not_available,partial,complete,not_applicable,not_applicable,partial,not_applicable,complete,not_applicable
Phase II stations,not_available,partial,complete,not_applicable,not_applicable,partial,not_applicable,not_available,not_applicable
Bus routes,not_available,not_applicable,not_applicable,complete,not_applicable,partial,complete,partial,not_applicable
Bus stops,not_available,not_applicable,not_applicable,complete,not_applicable,complete,complete,partial,not_applicable
Bus stop coordinates,not_available,not_applicable,not_applicable,not_available,not_applicable,complete,complete,partial,not_applicable
Route stop order,not_available,not_applicable,not_applicable,complete,not_applicable,partial,complete,not_available,not_applicable
Rail stations,not_available,not_applicable,not_applicable,not_applicable,complete,complete,not_applicable,complete,not_applicable
Rail codes,not_available,not_applicable,not_applicable,not_applicable,complete,complete,not_applicable,partial,not_applicable
MRTS,not_available,not_applicable,not_applicable,not_applicable,complete,complete,not_applicable,complete,not_applicable
Timetables,not_available,not_available,partial,partial,complete,not_available,complete,not_available,not_applicable
Fares,not_available,not_available,partial,complete,complete,not_available,partial,not_available,not_applicable
Accessibility,not_available,partial,complete,not_available,partial,partial,not_available,complete,not_applicable
Localities,not_available,not_applicable,not_applicable,not_applicable,not_applicable,complete,not_applicable,partial,not_applicable
POIs,not_available,not_applicable,not_applicable,not_applicable,not_applicable,complete,not_applicable,not_available,not_applicable
Tamil names,not_available,not_available,partial,partial,partial,partial,partial,complete,not_applicable
Historical names,not_available,not_available,partial,not_available,partial,complete,not_available,partial,not_applicable
Route geometry,not_available,not_available,not_available,not_available,not_available,complete,complete,not_available,not_applicable
Official CMA boundary,not_available,not_applicable,not_applicable,not_applicable,not_applicable,partial,not_applicable,not_available,complete

