file_id,relative_path,source_id,download_url,retrieved_at,file_format,file_size,checksum_sha256,dataset_version,published_date,license,notes
LEGACY_CMRL_VERIFIED_20260917,data/raw/legacy_cmrl/cmrl_verified_stations.json,CMRL_LEGACY_VERIFIED,https://chennaimetrorail.org/station-facilities/,2026-09-17T00:00:00Z,JSON,17423,0f4878833fe1a3bb87342b7c4468c9b6b340ad7686fbac55cbb120dca123c9c7,1.0,2026-09-17,REVIEW_REQUIRED,Legacy verified 13-station ground truth baseline.
LEGACY_CMRL_SCRAPED_20260917,data/raw/legacy_cmrl/cmrl_scraped_stations.json,CMRL_API,https://chennaimetrorail.org/wp-json/wp/v2/station-information,2026-09-17T00:00:00Z,JSON,32859,19f0153a2b06cf9f0c5d87f3be51ec60fb661890e13253251342fdf1f3e93092,1.0,2026-09-17,REVIEW_REQUIRED,Scraped 43 stations from official CMRL WordPress API.
CHENNAI_UNIFIED_GTFS_20260918,data/raw/community_gtfs/2026-09-18/chennai-unified-gtfs.zip,CHENNAI_COMMUNITY_GTFS,https://raw.githubusercontent.com/ungalsoththu/ChennaiGTFS/main/data/chennai-unified-gtfs.zip,2026-09-18T13:02:51.851504+00:00,ZIP,9091816,db1da880f9ad93e352f6658df0e94a8b2d71cd1dc8bdfbb60fa3968a9b0ad3e6,2.0,,ODbL,Chennai Unified GTFS (MTC bus + CMRL metro) community feed from ungalsoththu/ChennaiGTFS.
CMRL_WP_API_20260918,data/raw/cmrl/2026-09-18/cmrl_station_information_api.json,CMRL_API,https://chennaimetrorail.org/wp-json/wp/v2/station-information?per_page=100,2026-09-18T13:03:26.677090+00:00,JSON,301868,dcbc36f7477d770bc4cadfe19c18eadef508b4b9073d50265da4ec48c1d9ba58,2026.09,,REVIEW_REQUIRED,Official CMRL WordPress REST API containing 43 operational station disclosures and facilities.
OSM_CHENNAI_BOUNDARY_20260918,data/raw/government/2026-09-18/chennai_administrative_boundary_osm.json,OSM_OVERPASS,https://overpass-api.de/api/interpreter,2026-09-18T18:35:05.684794,JSON,99413,e5b2f8b74edadd9aa32e67fd05a7b9e29c448e4692e9402db65e3959a2c0934b,2026.09,,ODbL,Official administrative boundaries for Chennai District (7910817) and Corporation (1766358) with geometry.
OSM_RAIL_METRO_STATIONS_20260918,data/raw/osm/2026-09-18/osm_rail_and_metro_stations.json,OSM_OVERPASS,https://overpass-api.de/api/interpreter,2026-09-18T18:35:20.403739,JSON,162041,b114790e5d0bd221b7feea4455a9a510181468b79f540310d040cbf37499cc5b,2026.09,,ODbL,"All railway, metro, and MRTS stations and halts in Chennai region with tags and geometry."
OSM_BUS_TERMINALS_STOPS_20260918,data/raw/osm/2026-09-18/osm_bus_stations_and_terminals.json,OSM_OVERPASS,https://overpass-api.de/api/interpreter,2026-09-18T18:36:40.921410,JSON,420643,5178bd61f268477ce55a365b30203ab3512c515a7649d15fbafd205f9f8fb3d9,2026.09,,ODbL,"Bus stations, terminals, and named bus stops in Chennai region."
OSM_TRANSPORT_POIS_20260918,data/raw/osm/2026-09-18/osm_transport_pois.json,OSM_OVERPASS,https://overpass-api.de/api/interpreter,2026-09-18T18:38:06.944355,JSON,650688,7a3cdf4a7feafaa5531072e38b88ca92fa35775b2a90aa7fae7c5396c395d2cb,2026.09,,ODbL,"Transport-relevant POIs: hospitals, universities, colleges, malls, beaches, stadiums, aerodromes."
CUMTA_CMA_BOUNDARY_20260918,data/raw/government/2026-09-18/cumta_cma_boundary_official.geojson,CUMTA_TNGIS,https://data.opencity.in/dataset/4a0c6562-858a-4a08-9a42-3ccc05d87127/resource/783648b1-7180-41b5-b4a8-04ba4781943a/download/cumta_boundary.geojson,2026-09-18T22:29:17Z,GeoJSON,156235,0e5416833cebddd9f22810e7c3cac97e8693d0b388fd17ce067153b716fc7d8c,2026.05,2026-05-13,REVIEW_REQUIRED,"OpenCity-hosted Government of Tamil Nadu dataset; source: CUMTA. MultiPolygon for expanded Chennai Metropolitan Area."
CMRL_PHASE2_STATUS_20260918,data/raw/cmrl/2026-09-18/cmrl_phase2_corridor_status.html,CMRL_OFFICIAL,https://chennaimetrorail.org/project-status-2/,2026-09-18T22:30:48Z,HTML,88589,aef283a4b3183636253835b118d883ff932e7cc8256d9cb3dd7aed41523f744a,2026.09,2026-09-18,REVIEW_REQUIRED,"Official CMRL Phase II project status disclosure: Corridors 3, 4, 5, 118.9 km, 128 stations."
