conflict_id,entity_candidate,transport_mode,conflict_field,source_pair,source_a,value_a,source_b,value_b,delta_metric,resolution_status,resolution_action,requires_manual_review
CONF_0001,Nehru Park <-> Nehru Park,metro,coordinates,CMRL_API <-> OSM_OVERPASS,CMRL_API,"(13.0786275, 80.2508538)",OSM_OVERPASS,"(13.0787915, 80.2504722)",45.2m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0002,Nehru Park <-> Nehru Park,metro,coordinates,CMRL_API <-> OSM_OVERPASS,CMRL_API,"(13.0786275, 80.2508538)",OSM_OVERPASS,"(13.0787744, 80.2504742)",44.2m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0003,Nehru Park <-> Nehru Park,metro,coordinates,CMRL_API <-> OSM_OVERPASS,CMRL_API,"(13.0786275, 80.2508538)",OSM_OVERPASS,"(13.0787841, 80.250473)",44.8m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0004,Pachaiyappa's College <-> Pachaiyappa's College,metro,coordinates,CMRL_API <-> OSM_OVERPASS,CMRL_API,"(13.075574, 80.232315)",OSM_OVERPASS,"(13.0755602, 80.2328587)",58.9m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0005,Pachaiyappa's College <-> Pachaiyappa's College,metro,coordinates,CMRL_API <-> OSM_OVERPASS,CMRL_API,"(13.075574, 80.232315)",OSM_OVERPASS,"(13.0755466, 80.2328522)",58.3m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0006,Pachaiyappa's College <-> Pachaiyappa's College,metro,coordinates,CMRL_API <-> OSM_OVERPASS,CMRL_API,"(13.075574, 80.232315)",OSM_OVERPASS,"(13.0755402, 80.2328695)",60.2m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0007,Anna Nagar East <-> Anna Nagar East Metro Station,metro,coordinates,CMRL_API <-> CHENNAI_COMMUNITY_GTFS,CMRL_API,"(13.0847975, 80.218657)",CHENNAI_COMMUNITY_GTFS,"(13.0848, 80.21952)",93.5m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0008,Thirumangalam <-> Thirumangalam Metro,metro,coordinates,CMRL_API <-> CHENNAI_COMMUNITY_GTFS,CMRL_API,"(13.0852626, 80.201574)",CHENNAI_COMMUNITY_GTFS,"(13.08543, 80.20121)",43.6m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0009,Thirumangalam <-> Thirumangalam Metro,metro,coordinates,CMRL_API <-> CHENNAI_COMMUNITY_GTFS,CMRL_API,"(13.0852626, 80.201574)",CHENNAI_COMMUNITY_GTFS,"(13.08514, 80.20118)",44.8m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0010,Arumbakkam <-> Arumbakkam,metro,coordinates,CMRL_API <-> OSM_OVERPASS,CMRL_API,"(13.061999074679951, 80.21131235746036)",OSM_OVERPASS,"(13.0616746, 80.2116557)",51.8m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0011,Ekkattuthangal <-> Ekkattuthangal,metro,coordinates,CMRL_API <-> OSM_OVERPASS,CMRL_API,"(13.016606965423183, 80.20494300304732)",OSM_OVERPASS,"(13.0169222, 80.2054236)",62.8m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0012,Arignar Anna Alandur Metro <-> Alandur,metro,coordinates,CMRL_API <-> OSM_OVERPASS,CMRL_API,"(13.003989704098222, 80.20064840110591)",OSM_OVERPASS,"(13.0042558, 80.2014525)",92.0m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0013,Arignar Anna Alandur Metro <-> Alandur Metro,metro,coordinates,CMRL_API <-> CHENNAI_COMMUNITY_GTFS,CMRL_API,"(13.003989704098222, 80.20064840110591)",CHENNAI_COMMUNITY_GTFS,"(13.00421, 80.20129)",73.7m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0014,St. Thomas Mount Metro <-> Saint Thomas Mount,metro,coordinates,CMRL_API <-> OSM_OVERPASS,CMRL_API,"(12.9952695, 80.1988314)",OSM_OVERPASS,"(12.995, 80.198582)",40.4m,AUTO_RESOLVED,Resolved to authoritative operator / surveyed platform coordinates over street interpolation.,False
CONF_0015,St. Thomas Mount Metro <-> Saint Thomas Mount,metro,station_name,CMRL_API <-> OSM_OVERPASS,CMRL_API,St. Thomas Mount Metro,OSM_OVERPASS,Saint Thomas Mount,similarity=80.0%,AUTO_RESOLVED,Preserved secondary spelling/variant as searchable alias under canonical name.,False
CONF_0016,Teynampet <-> Teynampet Metro,metro,coordinates,CMRL_API <-> CHENNAI_COMMUNITY_GTFS,CMRL_API,"(13.03711844539991, 80.24551377789689)",CHENNAI_COMMUNITY_GTFS,"(13.0371, 80.24662)",119.9m,UNRESOLVED_NONBLOCKING,Facility span / multi-entrance coordinate variation (100m-500m). Surveyed OSM/operator coordinates preferred.,True
