taxonomy,dimension,group,n,sol_primary_exact,model_primary_exact,sol_primary_in_ref_set,model_primary_in_ref_set,sol_ref_primary_in_source_set,model_ref_primary_in_source_set,sol_acceptable_set_exact,model_acceptable_set_exact,sol_clarification_match,model_clarification_match,sol_null_primary,model_null_primary,sol_model_primary_agreement,sol_model_set_agreement,sol_model_clarification_agreement
T2,overall,ALL,128,0.921875,0.8984375,0.9375,0.8984375,0.984375,1.0,0.8359375,0.671875,0.8671875,0.8359375,0.0546875,0.1015625,0.90625,0.7578125,0.828125
T2,language_class,EN,30,0.8333333333333334,0.8,0.8666666666666667,0.8,0.9666666666666667,1.0,0.8333333333333334,0.5,0.9,0.7,0.1,0.2,0.7,0.5333333333333333,0.7333333333333333
T2,language_class,HINGLISH_LATN,29,0.9310344827586207,0.896551724137931,0.9310344827586207,0.896551724137931,1.0,1.0,0.896551724137931,0.8275862068965517,0.9655172413793104,0.8620689655172413,0.06896551724137931,0.10344827586206896,0.9655172413793104,0.8275862068965517,0.896551724137931
T2,language_class,HI_DEVA,30,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.8666666666666667,0.6666666666666666,0.9333333333333333,0.9,0.03333333333333333,0.06666666666666667,0.9666666666666667,0.7333333333333333,0.9
T2,language_class,HI_LATN,29,0.9655172413793104,0.9310344827586207,0.9655172413793104,0.9310344827586207,1.0,1.0,0.9310344827586207,0.8620689655172413,0.8620689655172413,0.8275862068965517,0.034482758620689655,0.06896551724137931,0.9655172413793104,0.896551724137931,0.9655172413793104
T2,language_class,MIXED_SCRIPT_CS,10,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.2,0.3,1.0,0.0,0.0,1.0,0.9,0.3
T2,script,Deva,30,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.8666666666666667,0.6666666666666666,0.9333333333333333,0.9,0.03333333333333333,0.06666666666666667,0.9666666666666667,0.7333333333333333,0.9
T2,script,Latn,88,0.9090909090909091,0.875,0.9204545454545454,0.875,0.9886363636363636,1.0,0.8863636363636364,0.7272727272727273,0.9090909090909091,0.7954545454545454,0.06818181818181818,0.125,0.875,0.75,0.8636363636363636
T2,script,Mixed,10,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.2,0.3,1.0,0.0,0.0,1.0,0.9,0.3
T2,code_switch_level,CS0,51,0.8627450980392157,0.8431372549019608,0.9019607843137255,0.8431372549019608,0.9607843137254902,1.0,0.8235294117647058,0.6078431372549019,0.9019607843137255,0.7843137254901961,0.0784313725490196,0.1568627450980392,0.803921568627451,0.6666666666666666,0.803921568627451
T2,code_switch_level,CS1,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,1.0,0.8888888888888888,0.0,0.0,1.0,0.4444444444444444,0.8888888888888888
T2,code_switch_level,CS2,30,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9333333333333333,1.0,1.0,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.03333333333333333,0.06666666666666667,0.9666666666666667,0.9,0.9666666666666667
T2,code_switch_level,CS3,28,0.9285714285714286,0.8928571428571429,0.9285714285714286,0.8928571428571429,1.0,1.0,0.8928571428571429,0.8214285714285714,0.9642857142857143,0.8571428571428571,0.07142857142857142,0.10714285714285714,0.9642857142857143,0.8214285714285714,0.8928571428571429
T2,code_switch_level,CS4,10,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.2,0.3,1.0,0.0,0.0,1.0,0.9,0.3
T2,noise_level,N0,57,0.9298245614035088,0.8947368421052632,0.9298245614035088,0.8947368421052632,1.0,1.0,0.8070175438596491,0.6842105263157895,0.8070175438596491,0.8596491228070176,0.05263157894736842,0.10526315789473684,0.9298245614035088,0.8245614035087719,0.8771929824561403
T2,noise_level,N1,18,0.9444444444444444,1.0,0.9444444444444444,1.0,1.0,1.0,0.8888888888888888,0.6666666666666666,0.9444444444444444,0.8888888888888888,0.05555555555555555,0.0,0.9444444444444444,0.7222222222222222,0.9444444444444444
T2,noise_level,N2,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.0,1.0,0.8666666666666667,0.8,1.0,0.8666666666666667,0.13333333333333333,0.13333333333333333,0.8666666666666667,0.8,0.8666666666666667
T2,noise_level,N3,14,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,1.0,0.7857142857142857,0.6428571428571429,0.7857142857142857,0.9285714285714286,0.0,0.14285714285714285,0.7857142857142857,0.7142857142857143,0.7142857142857143
T2,noise_level,N4,14,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.8571428571428571,1.0,1.0,0.7857142857142857,0.5714285714285714,0.8571428571428571,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.9285714285714286,0.6428571428571429,0.6428571428571429
T2,noise_level,N5,10,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.6,1.0,0.7,0.0,0.1,0.9,0.6,0.7
T2,noise_type,casing_and_punctuation_normalization,18,0.9444444444444444,1.0,0.9444444444444444,1.0,1.0,1.0,0.8888888888888888,0.6666666666666666,0.9444444444444444,0.8888888888888888,0.05555555555555555,0.0,0.9444444444444444,0.7222222222222222,0.9444444444444444
T2,noise_type,clean,57,0.9298245614035088,0.8947368421052632,0.9298245614035088,0.8947368421052632,1.0,1.0,0.8070175438596491,0.6842105263157895,0.8070175438596491,0.8596491228070176,0.05263157894736842,0.10526315789473684,0.9298245614035088,0.8245614035087719,0.8771929824561403
T2,noise_type,commuter_sms_chat_shorthand,10,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.6,1.0,0.7,0.0,0.1,0.9,0.6,0.7
T2,noise_type,keyboard_adjacent_typo,14,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,1.0,0.7857142857142857,0.6428571428571429,0.7857142857142857,0.9285714285714286,0.0,0.14285714285714285,0.7857142857142857,0.7142857142857143,0.7142857142857143
T2,noise_type,phonetic_transliteration_misspelling,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.0,1.0,0.8666666666666667,0.8,1.0,0.8666666666666667,0.13333333333333333,0.13333333333333333,0.8666666666666667,0.8,0.8666666666666667
T2,noise_type,vowel_omission_and_truncation,14,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.8571428571428571,1.0,1.0,0.7857142857142857,0.5714285714285714,0.8571428571428571,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.9285714285714286,0.6428571428571429,0.6428571428571429
T2,ambiguity_type,dual_goal_conjunction,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
T2,ambiguity_type,missing_destination_slot,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
T2,ambiguity_type,missing_origin_slot,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
T2,ambiguity_type,none,109,0.9908256880733946,0.9357798165137615,0.9908256880733946,0.9357798165137615,1.0,1.0,0.981651376146789,0.7889908256880734,0.944954128440367,0.8440366972477065,0.0,0.06422018348623854,0.926605504587156,0.7981651376146789,0.8990825688073395
T2,ambiguity_type,route_isolated_number,3,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
T2,ambiguity_type,station_context_underspecified,2,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0
T2,ambiguity_type,underspecified_od_intent,2,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0
T2,ambiguity_type,underspecified_origin_transit,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
T2,ambiguity_type,underspecified_temporal_departure,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
T2,answerability_status,ANSWERABLE_AFTER_MANUAL_VERIFICATION,5,0.8,0.8,0.8,0.8,1.0,1.0,0.8,0.6,1.0,1.0,0.2,0.2,1.0,0.6,1.0
T2,answerability_status,ANSWERABLE_NOW,57,0.9649122807017544,0.9122807017543859,0.9649122807017544,0.9122807017543859,1.0,1.0,0.8245614035087719,0.7017543859649122,0.8245614035087719,0.8596491228070176,0.03508771929824561,0.08771929824561403,0.9473684210526315,0.8421052631578947,0.7894736842105263
T2,answerability_status,ANSWERABLE_WITH_PROVISIONAL_DATA,54,0.8703703703703703,0.8703703703703703,0.9074074074074074,0.8703703703703703,0.9629629629629629,1.0,0.8148148148148148,0.5925925925925926,0.8703703703703703,0.7962962962962963,0.07407407407407407,0.12962962962962962,0.8333333333333334,0.6481481481481481,0.8518518518518519
T2,answerability_status,OUT_OF_SCOPE,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
T2,answerability_status,REQUIRES_REALTIME_DATA,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.75,0.0,0.0,1.0,0.875,0.75
T3,overall,ALL,128,0.9140625,0.90625,0.9296875,0.90625,0.984375,1.0,0.828125,0.765625,0.859375,0.84375,0.0625,0.09375,0.9296875,0.828125,0.859375
T3,language_class,EN,30,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9666666666666667,1.0,0.8,0.5666666666666667,0.8666666666666667,0.7,0.13333333333333333,0.16666666666666666,0.8,0.5333333333333333,0.7666666666666667
T3,language_class,HINGLISH_LATN,29,0.9310344827586207,0.896551724137931,0.9310344827586207,0.896551724137931,1.0,1.0,0.896551724137931,0.896551724137931,0.9655172413793104,0.896551724137931,0.06896551724137931,0.10344827586206896,0.9655172413793104,0.8620689655172413,0.9310344827586207
T3,language_class,HI_DEVA,30,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.8666666666666667,0.9,0.9333333333333333,0.9333333333333333,0.03333333333333333,0.06666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333
T3,language_class,HI_LATN,29,0.9655172413793104,0.9310344827586207,0.9655172413793104,0.9310344827586207,1.0,1.0,0.9310344827586207,0.8620689655172413,0.8620689655172413,0.8275862068965517,0.034482758620689655,0.06896551724137931,0.9655172413793104,0.9310344827586207,0.9655172413793104
T3,language_class,MIXED_SCRIPT_CS,10,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.3,0.3,0.9,0.0,0.0,1.0,1.0,0.4
T3,script,Deva,30,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.8666666666666667,0.9,0.9333333333333333,0.9333333333333333,0.03333333333333333,0.06666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333
T3,script,Latn,88,0.8977272727272727,0.8863636363636364,0.9090909090909091,0.8863636363636364,0.9886363636363636,1.0,0.875,0.7727272727272727,0.8977272727272727,0.8068181818181818,0.07954545454545454,0.11363636363636363,0.9090909090909091,0.7727272727272727,0.8863636363636364
T3,script,Mixed,10,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.3,0.3,0.9,0.0,0.0,1.0,1.0,0.4
T3,code_switch_level,CS0,51,0.8431372549019608,0.8627450980392157,0.8823529411764706,0.8627450980392157,0.9607843137254902,1.0,0.803921568627451,0.6862745098039216,0.8823529411764706,0.803921568627451,0.09803921568627451,0.13725490196078433,0.8627450980392157,0.6862745098039216,0.8431372549019608
T3,code_switch_level,CS1,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.0,0.0,1.0,1.0,0.8888888888888888
T3,code_switch_level,CS2,30,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9333333333333333,1.0,1.0,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.03333333333333333,0.06666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667
T3,code_switch_level,CS3,28,0.9285714285714286,0.8928571428571429,0.9285714285714286,0.8928571428571429,1.0,1.0,0.8928571428571429,0.8928571428571429,0.9642857142857143,0.8928571428571429,0.07142857142857142,0.10714285714285714,0.9642857142857143,0.8571428571428571,0.9285714285714286
T3,code_switch_level,CS4,10,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.3,0.3,0.9,0.0,0.0,1.0,1.0,0.4
T3,noise_level,N0,57,0.9122807017543859,0.9122807017543859,0.9122807017543859,0.9122807017543859,1.0,1.0,0.7894736842105263,0.7719298245614035,0.7894736842105263,0.8596491228070176,0.07017543859649122,0.08771929824561403,0.9649122807017544,0.8771929824561403,0.8947368421052632
T3,noise_level,N1,18,0.9444444444444444,1.0,0.9444444444444444,1.0,1.0,1.0,0.8888888888888888,0.7777777777777778,0.9444444444444444,0.8888888888888888,0.05555555555555555,0.0,0.9444444444444444,0.8333333333333334,0.9444444444444444
T3,noise_level,N2,15,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.9333333333333333,1.0,1.0,0.8666666666666667,0.8,1.0,0.8666666666666667,0.13333333333333333,0.06666666666666667,0.9333333333333333,0.8,0.8666666666666667
T3,noise_level,N3,14,0.8571428571428571,0.7857142857142857,1.0,0.7857142857142857,0.8571428571428571,1.0,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.9285714285714286,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857,0.7142857142857143
T3,noise_level,N4,14,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.8571428571428571,1.0,1.0,0.7857142857142857,0.6428571428571429,0.8571428571428571,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.9285714285714286,0.7142857142857143,0.7857142857142857
T3,noise_level,N5,10,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.8,1.0,0.8,0.0,0.1,0.9,0.8,0.8
T3,noise_type,casing_and_punctuation_normalization,18,0.9444444444444444,1.0,0.9444444444444444,1.0,1.0,1.0,0.8888888888888888,0.7777777777777778,0.9444444444444444,0.8888888888888888,0.05555555555555555,0.0,0.9444444444444444,0.8333333333333334,0.9444444444444444
T3,noise_type,clean,57,0.9122807017543859,0.9122807017543859,0.9122807017543859,0.9122807017543859,1.0,1.0,0.7894736842105263,0.7719298245614035,0.7894736842105263,0.8596491228070176,0.07017543859649122,0.08771929824561403,0.9649122807017544,0.8771929824561403,0.8947368421052632
T3,noise_type,commuter_sms_chat_shorthand,10,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.8,1.0,0.8,0.0,0.1,0.9,0.8,0.8
T3,noise_type,keyboard_adjacent_typo,14,0.8571428571428571,0.7857142857142857,1.0,0.7857142857142857,0.8571428571428571,1.0,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.9285714285714286,0.0,0.21428571428571427,0.7857142857142857,0.7857142857142857,0.7142857142857143
T3,noise_type,phonetic_transliteration_misspelling,15,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.9333333333333333,1.0,1.0,0.8666666666666667,0.8,1.0,0.8666666666666667,0.13333333333333333,0.06666666666666667,0.9333333333333333,0.8,0.8666666666666667
T3,noise_type,vowel_omission_and_truncation,14,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.8571428571428571,1.0,1.0,0.7857142857142857,0.6428571428571429,0.8571428571428571,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.9285714285714286,0.7142857142857143,0.7857142857142857
T3,ambiguity_type,dual_goal_conjunction,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0
T3,ambiguity_type,missing_destination_slot,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
